;0;1;2;3;4;5;6;7;8;9;10
youneed;6.0224863e-07;7.658829e-07;1.1671976e-05;1.1358247e-06;8.0442607e-07;5.5189507e-06;1.818411e-06;7.746703e-07;4.023133e-05;1.0562221e-06;8.8598506e-07
tellme;7.5001753e-07;1.1881361e-06;6.226757e-05;3.0413269e-06;3.0143234e-05;5.805199e-06;2.9844186e-06;1.1029927e-06;1.197238e-06;5.709017e-06;9.912461e-07
radical;6.709458e-05;0.00010614539;1.0977492e-06;4.4857945e-05;6.7170986e-06;0.00010796825;6.972088e-05;3.7645527e-06;1.1753058e-06;1.5071777e-06;0.00010793626
considerably;3.6063827e-06;1.8938545e-06;8.627408e-05;7.065139e-05;3.9426526e-05;5.5762448e-05;7.347528e-06;8.288337e-06;8.3094805e-05;2.7321097e-05;2.6714239e-05
hasa;1.1040246e-05;1.4133666e-06;2.9613786e-05;1.8832852e-05;1.1396851e-06;1.2959761e-06;1.2061217e-06;1.8800438e-06;7.207311e-06;2.5870831e-05;5.2796728e-05
single;0.00021937174;0.00013068844;0.00063383224;0.00071875664;0.0006147988;0.00043290824;0.00025022653;0.00036565747;0.00061396084;0.00046149993;0.0012317279
undergrad;1.6401679e-06;1.0275961e-06;0.00010289358;2.142622e-06;1.2604713e-06;1.6703164e-06;3.901199e-05;5.794876e-06;1.1379103e-05;1.4408716e-06;1.8246643e-06
austin;2.8561885e-06;0.00023014242;0.0006406383;2.285447e-06;0.00024479424;0.0001030745;2.9056075e-05;4.1959775e-05;1.5053924e-05;8.8287576e-05;2.1109065e-06
mane;5.8847036e-07;6.2705976e-07;6.85454e-07;1.1329536e-06;7.166814e-07;1.2198033e-06;0.0003446307;8.2606635e-07;5.912932e-07;8.62505e-07;1.1152672e-06
majorityof;5.167292e-06;3.7153497e-06;7.7053994e-07;1.1213455e-06;8.798451e-07;1.3809454e-06;1.810119e-05;6.106488e-06;5.697017e-07;1.2226571e-06;1.4747645e-05
wrapper;6.5954094e-07;2.215264e-06;1.1005848e-06;1.6075113e-06;1.26517425e-05;5.181893e-05;1.0716303e-06;6.79352e-07;3.0770847e-05;1.2490498e-06;9.710989e-07
mist;6.883473e-06;8.782901e-07;7.991537e-07;4.639327e-06;8.2384497e-07;8.050168e-07;8.1869086e-07;1.932343e-05;7.107715e-07;4.013139e-05;1.9998092e-06
swinge;5.856392e-07;7.508803e-07;6.8475873e-07;9.949266e-07;7.3580755e-05;7.864302e-07;1.5538985e-06;1.1331774e-06;5.6381896e-07;1.2119132e-06;1.4343483e-05
greatly;4.040182e-05;1.5094087e-05;0.0011581177;0.00029123126;5.4778466e-06;5.3389726e-06;6.8955844e-05;9.26504e-06;0.00023202437;0.0001871522;2.0296624e-05
adjustment;8.0454083e-07;1.2366637e-06;3.0564304e-05;2.804951e-05;0.00010192278;1.9133822e-06;3.6671958e-05;3.2683708e-06;5.5505978e-05;6.1385654e-05;6.0272955e-06
opponent;3.0646388e-05;3.917949e-05;8.2056334e-07;1.7014299e-06;0.00013483324;0.00015458366;4.1523042e-05;1.6706281e-06;8.9804365e-07;1.329107e-06;0.00013358655
withhis;2.5957019e-05;1.2531721e-06;7.09565e-07;7.4622454e-07;9.798873e-07;6.699542e-07;9.1487607e-07;2.6240208e-05;5.2503856e-07;8.615973e-07;9.101765e-07
renounce;1.5439156e-05;9.095653e-05;6.586134e-07;9.3627966e-07;8.372921e-07;1.1010959e-06;9.2949506e-07;8.7841175e-07;6.380283e-07;7.890869e-07;2.1517122e-05
standardized;6.113536e-07;6.178211e-07;3.017718e-06;3.9982865e-06;7.8445356e-07;1.5239372e-06;7.1981134e-07;6.7449474e-07;3.442268e-05;3.2823637e-06;9.183716e-07
brush;5.401844e-06;2.7418431e-05;1.4196667e-06;1.6805446e-06;1.3056252e-06;1.4249484e-06;2.1804497e-06;0.000107987216;4.604311e-05;1.5913382e-06;7.0005226e-06
gregory;3.848779e-05;3.3597576e-06;0.00032052462;2.6013982e-05;0.0002481903;2.9769608e-06;2.4735411e-06;2.0680168e-06;2.44237e-05;3.4377595e-06;2.2105407e-06
steam;6.817489e-07;2.0689017e-06;8.8959337e-07;2.2530699e-06;5.0567387e-06;9.5061273e-07;8.517334e-07;2.6913953e-05;8.123794e-07;0.00032182146;9.599198e-07
badly;1.3751554e-05;2.3712296e-06;5.1993125e-06;2.5800971e-05;5.687128e-05;7.582763e-05;7.1423594e-05;0.00020448673;9.784398e-06;2.1010525e-05;3.666518e-05
david;0.0011820861;0.00047489675;0.0014355406;0.0012169386;0.002148324;0.0032619932;0.0015727885;0.00042182088;0.00063611823;0.00082304457;0.0006976433
lourde;8.963805e-05;1.0454122e-06;5.857058e-07;6.2446866e-06;6.083377e-07;6.875083e-07;8.6720144e-07;1.0383826e-06;6.702339e-07;7.373035e-07;9.515509e-07
connecticut;7.5482296e-07;8.754761e-07;9.255769e-07;3.2465578e-05;8.288141e-06;7.138743e-06;1.5649744e-05;1.371477e-06;1.0640009e-06;2.1276343e-05;3.9187573e-05
energia;5.4738905e-07;5.328496e-07;6.8173017e-07;0.00010136533;6.8834237e-07;7.817305e-07;7.605913e-07;6.5577524e-07;8.0287356e-07;9.012953e-07;9.629051e-07
middle;0.00014519626;0.00012720755;5.0800987e-05;1.3501175e-05;0.00029113013;6.393568e-05;0.00013105314;0.00050864526;3.189964e-05;0.00025673973;0.0007331068
asic;5.6313763e-07;6.2441495e-07;2.6391097e-05;7.91375e-07;7.547269e-07;6.260175e-05;1.224306e-06;8.463062e-07;9.570599e-07;9.4690245e-07;8.1443955e-07
tokyo;6.6803244e-07;8.310132e-07;2.3019984e-06;1.8483604e-05;2.3636014e-05;3.112258e-06;3.3703032e-05;1.0366589e-06;0.00010702281;1.365567e-06;1.5906796e-06
testimony;0.00017025058;9.643996e-05;7.9021623e-07;1.94436e-06;1.4068978e-06;1.604654e-06;9.435678e-05;6.984091e-05;7.8759086e-07;1.2099118e-06;5.5612592e-05
matter;0.0009933986;0.0023344317;7.492878e-05;0.00044430004;0.00040782258;0.00042017587;0.0006969758;0.0005319671;5.562157e-05;0.00040236468;0.00031779095
telecommunication;7.120404e-07;7.169338e-07;1.3355753e-06;5.4286193e-05;7.477246e-07;0.000353337;2.0488158e-06;7.4285197e-07;4.5333404e-06;1.233967e-06;1.1214404e-06
idle;5.4875833e-05;1.8817365e-05;4.21992e-05;2.1469295e-06;0.00037881098;5.545605e-05;1.9666193e-06;2.2728602e-06;0.000102105674;0.00021874039;1.4188793e-06
diving;7.3081503e-07;1.1061557e-06;8.9488503e-07;3.647299e-05;1.7157587e-05;9.852114e-07;1.3620515e-06;1.0740518e-05;2.8289815e-06;1.3530406e-06;1.0817328e-05
timmon;1.3574614e-06;0.00015944753;6.4566035e-07;5.962894e-07;1.0158769e-06;6.656001e-07;6.425396e-07;6.979966e-07;5.74251e-07;6.338345e-07;7.76848e-07
province;8.022805e-07;9.172434e-07;8.492316e-07;3.5560172e-06;3.7081954e-06;1.4964825e-06;0.00010451651;2.0153448e-06;8.2163024e-07;4.3767104e-05;0.0002573738
oscar;8.548438e-07;1.0119435e-06;1.2921109e-06;2.7515064e-06;0.0001176455;1.046513e-06;2.8336797e-06;2.2970612e-06;1.0851696e-06;6.095559e-06;8.9633215e-07
lehigh;8.0036546e-07;9.362537e-07;0.00019346707;6.956334e-05;0.000120207376;1.1671557e-06;7.4672216e-06;1.8506881e-06;1.5057068e-06;0.00030555096;3.9919933e-06
impress;2.230222e-06;3.812198e-05;4.918342e-05;5.262005e-06;2.1136731e-05;1.3199485e-06;1.5704951e-06;8.87867e-06;8.094901e-06;3.8685015e-05;4.1338294e-06
champ;5.013362e-07;6.8468324e-07;4.0105756e-06;6.604868e-07;0.0002201634;5.717539e-07;7.7170444e-07;7.643545e-07;6.076311e-07;8.2816825e-07;7.3808013e-07
theserial;5.180782e-07;5.814684e-07;2.0685834e-06;7.565091e-07;6.6088046e-07;7.8204444e-05;1.2168238e-06;6.5985233e-07;7.7579244e-07;1.3010824e-06;8.1106396e-07
