;0;1;2;3;4;5;6;7;8;9;10;11
youneed;1.4165444e-06;3.4769034e-06;3.9104148e-06;1.5410818e-06;4.175367e-06;1.2397255e-06;1.4789775e-06;1.3405017e-06;3.4046407e-05;1.8895624e-06;1.5227139e-06;4.0144196e-06
tellme;1.4599431e-06;1.5564568e-06;5.73101e-06;1.4633143e-06;2.6382251e-05;2.2108507e-06;3.226463e-05;1.3251852e-06;2.0148095e-06;3.3612391e-06;5.9675217e-06;5.008537e-05
radical;1.364627e-05;1.7152446e-05;0.00011298495;7.854625e-05;2.1860415e-06;5.745661e-06;5.5995974e-06;0.00010256511;1.9308534e-06;4.359331e-05;0.000120926365;2.5837796e-06
considerably;1.3978125e-05;3.4433474e-06;6.710029e-05;1.896791e-05;3.6046764e-05;4.8977085e-06;4.460577e-05;4.5865095e-06;0.000104910236;6.460359e-05;1.7298404e-05;1.8841565e-05
hasa;3.4652273e-06;2.1059664e-06;2.2259824e-06;3.054637e-05;4.384689e-05;3.1685015e-06;2.0914429e-06;8.117619e-06;8.85974e-06;1.5720192e-05;3.044279e-06;4.1240005e-06
single;5.221309e-05;0.00015923951;0.00042790046;0.0012154997;0.0007234347;0.0003290431;0.0006997154;0.0002416593;0.0006816559;0.0005974414;0.00046179618;1.4877795e-05
undergrad;1.7415737e-06;1.5525698e-06;1.6441736e-06;1.7043146e-06;4.035982e-06;1.8677532e-06;2.3202615e-06;1.8829255e-06;6.977852e-06;2.200688e-06;4.1326948e-05;0.00034203235
austin;0.00017701302;5.1930333e-06;0.00011689911;3.9970605e-06;0.00045235653;0.00014718925;0.00024229729;5.8899e-05;1.238093e-05;4.8750094e-06;3.888577e-05;0.00033586513
mane;1.2035879e-06;2.5110658e-06;1.053886e-06;3.1699208e-06;1.0107415e-06;1.1339932e-06;2.0879097e-06;1.3887093e-06;1.176485e-06;2.0756938e-06;0.00034344377;2.3057162e-06
majorityof;2.2576357e-06;2.4598148e-06;1.8125487e-06;7.948861e-06;1.2595146e-06;6.2904555e-06;1.9259762e-06;6.345681e-06;1.056094e-06;2.2300185e-06;3.622754e-05;2.333527e-06
wrapper;2.5993556e-06;1.4164742e-06;4.4624216e-05;1.6219471e-06;2.0681632e-06;9.74171e-07;1.6103786e-05;1.5438133e-06;3.368308e-05;2.760139e-06;1.8729503e-06;3.1175337e-06
mist;1.5548247e-06;2.4128428e-06;1.2846314e-06;1.1137778e-05;1.237816e-06;3.1787768e-06;1.733224e-06;8.706044e-06;1.2306608e-06;4.6725727e-05;1.858499e-06;1.6441383e-06
swinge;8.7171946e-07;5.0668746e-06;1.207397e-06;1.821979e-05;1.3051556e-06;2.6196328e-06;7.850305e-05;1.4491501e-06;1.0448687e-06;1.8004762e-06;1.8650364e-06;2.09532e-06
greatly;6.923225e-05;1.302445e-05;4.73725e-06;7.978275e-06;0.00020818553;1.0922717e-05;4.820645e-06;1.1475141e-05;0.00012182085;0.00011347012;5.0860606e-05;0.0016936143
adjustment;5.553861e-06;5.7008703e-05;2.6964433e-06;6.4929354e-06;0.00010064286;8.614445e-06;7.179162e-05;1.8348453e-06;4.4302942e-05;3.3044136e-05;1.3829322e-05;4.8404445e-06
opponent;7.5845915e-06;7.743717e-06;0.00020572258;0.00011143994;1.5102432e-06;2.8402505e-06;0.00013245792;4.573568e-05;1.8729149e-06;3.7224104e-06;5.7548725e-05;2.6945936e-06
withhis;1.7639707e-06;4.335459e-06;9.5288055e-07;2.036777e-06;1.1270174e-06;1.6480451e-05;2.1970393e-06;2.2467504e-05;9.0994547e-07;1.5510792e-06;1.6440534e-06;1.7583136e-06
renounce;2.3341443e-06;2.047343e-06;1.956234e-06;4.4371372e-05;1.0021348e-06;1.8525096e-06;1.6475209e-06;6.251762e-05;1.1687631e-06;1.838393e-06;2.871382e-06;2.200583e-06
standardized;1.2930099e-06;1.4168269e-06;2.7365093e-06;1.6414825e-06;4.2537085e-06;1.0496778e-06;1.4855153e-06;1.3212808e-06;2.8411918e-05;6.885892e-06;1.7904196e-06;3.2298233e-06
brush;9.8040855e-06;2.704789e-05;2.3794712e-06;3.8002338e-05;2.4779433e-06;4.6120796e-05;2.761242e-06;8.765093e-06;3.7928305e-05;4.691701e-06;4.1595285e-06;4.1261637e-06
gregory;4.990965e-06;3.2173093e-06;2.0286384e-06;2.0583188e-06;5.5870772e-05;3.6779277e-06;1.7279404e-05;2.9826466e-05;1.2850885e-05;9.85516e-06;3.4651268e-06;0.00096361927
steam;2.1314754e-06;1.8986326e-06;1.7513825e-06;2.2547451e-06;5.523534e-06;3.416417e-06;5.4928464e-06;2.1089013e-06;1.8761239e-06;0.00039278305;2.1650096e-06;2.90031e-06
badly;1.9655934e-05;0.00011796306;4.0810595e-05;3.1762258e-05;5.9860386e-06;0.0002753678;6.257604e-05;5.3424496e-06;8.575533e-06;2.0604573e-05;2.0979951e-05;3.1830414e-06
david;5.8856054e-05;0.0019051378;0.0038736635;0.00073205197;0.0006904053;6.0078557e-05;0.0024624206;0.0013015359;0.0006839131;0.0013648156;0.0012891858;0.0045328806
lourde;2.2382687e-06;1.5894743e-06;1.2070377e-06;1.6672875e-06;1.0606844e-06;1.4703779e-06;1.3966082e-06;7.985158e-05;1.1080728e-06;8.238163e-06;1.8820533e-06;1.5505611e-06
connecticut;1.7342132e-06;6.339331e-06;5.4889424e-06;2.9542896e-05;7.5692487e-06;2.6969362e-06;7.3296233e-06;1.6736277e-06;1.7310832e-06;2.792475e-05;2.458566e-05;2.79346e-06
energia;9.393983e-07;1.1238656e-06;1.1780663e-06;1.5897266e-06;1.2298816e-06;1.1035867e-06;1.2973179e-06;1.2606041e-06;1.2916244e-06;8.75069e-05;1.303812e-06;1.9260128e-06
middle;2.1853373e-05;5.523892e-05;6.809921e-05;0.0007297274;0.00014017883;0.0006087913;0.00032660607;0.00020780996;2.7653134e-05;4.9221675e-05;0.00022568699;0.0001371696
asic;1.1805764e-06;1.4091003e-06;4.6834397e-05;1.316907e-06;2.2792785e-05;1.2129167e-06;1.5729076e-06;1.1624543e-06;2.0557316e-06;1.9524405e-06;1.7981953e-06;2.865509e-06
tokyo;1.3923318e-06;7.322562e-05;3.4885168e-06;2.8340644e-06;2.7778897e-06;2.9042685e-06;1.30202725e-05;1.8114584e-06;8.224374e-05;2.7429123e-05;2.58443e-06;6.155825e-05
testimony;4.71159e-06;0.00020115732;2.4124242e-06;6.0787588e-05;1.2153677e-06;1.69344e-05;3.81796e-06;0.00021991193;1.1862065e-06;4.547934e-06;4.5679393e-05;1.3886382e-06
matter;0.0017707405;0.0009148477;0.00057507696;0.00035376413;0.00021634898;0.00054493436;0.0004894372;0.001157822;3.819517e-05;0.0003359182;0.000593732;1.7573186e-05
telecommunication;1.8173289e-06;1.3659786e-06;0.00031397276;1.4002235e-06;1.6458921e-06;7.191922e-07;1.5945554e-06;1.5909836e-06;4.686449e-06;5.7957826e-05;2.3712964e-06;2.9559683e-06
idle;1.4933558e-05;5.2576283e-06;5.289194e-05;2.8380646e-06;0.00024937792;3.5415922e-06;0.00038258548;4.578279e-05;9.349953e-05;4.601625e-06;3.7386149e-06;6.772444e-06
diving;1.9476538e-06;2.0133061e-06;1.4295076e-06;1.0268193e-05;1.5463938e-06;1.11576255e-05;1.1618956e-05;1.5049892e-06;2.8182358e-06;4.5498407e-05;2.8574311e-06;2.5810705e-06
timmon;2.827414e-06;1.7021407e-06;1.3231961e-06;1.8376755e-06;9.3999756e-07;1.480605e-06;1.2689187e-06;0.00014613812;1.0550933e-06;1.6070112e-06;1.6895268e-06;1.9884858e-06
province;1.2666702e-06;2.4244587e-06;2.1573148e-06;0.00036292375;1.3122516e-05;2.750614e-06;3.5503163e-06;1.7732328e-06;1.6045639e-06;4.487796e-06;0.00013553789;2.2315076e-06
oscar;1.4375295e-06;1.6137967e-06;1.4099487e-06;1.7819807e-06;4.8317966e-06;2.7060848e-06;9.7526085e-05;1.9580018e-06;1.7013319e-06;3.9386614e-06;4.9031564e-06;4.8068587e-06
lehigh;2.1088342e-06;6.7277456e-06;1.912878e-06;2.6669388e-06;0.00028027466;5.1331904e-06;8.2370665e-05;1.1750673e-06;2.7857373e-06;6.25366e-05;8.993189e-06;0.00037935792
impress;2.4617142e-05;4.143492e-06;2.4068217e-06;3.1622603e-06;5.2883264e-05;4.4364238e-06;2.9037352e-05;3.2085193e-06;7.1629906e-06;3.2627388e-06;2.7700773e-06;6.2091254e-05
champ;7.16795e-07;1.1386501e-06;8.5598487e-07;1.4106914e-06;2.2953582e-06;1.3768456e-06;0.00022909617;1.0486247e-06;9.4043247e-07;1.5273363e-06;1.3911565e-06;2.5385793e-06
theserial;1.0516779e-06;1.3087871e-06;6.0738086e-05;1.4306373e-06;4.1787453e-06;8.3356815e-07;1.3599004e-06;1.126222e-06;1.4146593e-06;1.7095488e-06;1.7870351e-06;1.8723862e-06
sheffield;8.4481e-07;1.2229732e-06;1.2585331e-06;1.6156376e-06;1.953988e-06;1.0606078e-06;0.00011613794;1.1956544e-06;3.884606e-05;1.9308627e-06;1.3405903e-06;3.7281725e-06
sarto;1.5406857e-06;1.300678e-06;9.924278e-07;1.5420007e-06;9.0243896e-07;9.4920335e-07;1.203993e-06;6.9809685e-05;9.409654e-07;1.4238254e-06;1.3601284e-06;1.5365385e-06
treasury;1.4548923e-06;0.00013952576;1.418787e-05;2.7697022e-06;2.1665237e-06;2.7035567e-06;1.5290558e-06;1.4871286e-05;1.2951596e-06;2.0783045e-06;1.2042954e-05;1.5285513e-06
crony;1.4454561e-06;4.952884e-06;1.616431e-06;3.9143986e-05;1.5386869e-06;1.1551959e-05;2.1173983e-06;1.6969448e-06;1.811124e-06;1.9405156e-06;2.4233932e-05;2.1282008e-06
velocity;1.824889e-06;1.3152171e-05;2.0331938e-06;2.1853573e-06;3.8939957e-05;4.0079212e-06;3.148392e-06;1.8121306e-06;5.244641e-06;0.0003597558;5.1293837e-06;4.691949e-06
easily;0.00051536504;9.996503e-05;0.0007154116;8.143158e-05;0.00034358018;2.4604326e-05;0.00026157591;0.00021711341;0.00033975925;0.00017006233;0.0001715076;1.0307596e-05
honesty;8.213943e-06;4.0983095e-06;1.562727e-05;2.1825768e-05;1.5650028e-06;6.569568e-06;1.907323e-06;8.408911e-05;1.5032726e-06;2.3934099e-06;1.2882885e-05;1.9550748e-06
nurse;3.434823e-06;2.6220525e-06;1.3947681e-06;8.291573e-06;1.8641565e-06;0.00010331095;2.4836359e-06;1.6315888e-06;1.2088493e-06;5.6001023e-05;1.7036933e-05;2.1650408e-06
alarm;7.848855e-06;1.3509089e-05;3.3228016e-06;3.0680355e-06;0.00037224032;6.086488e-05;3.9520614e-06;3.7037526e-06;1.3241529e-05;4.005502e-06;1.7623079e-05;6.3409157e-06
brunel;2.8905001e-06;1.0514464e-06;2.4277654e-06;1.148159e-06;2.024872e-06;1.3170443e-06;1.8687169e-06;1.13154365e-05;3.4311815e-06;3.7704904e-06;1.6290907e-06;0.00045809313
bark;3.3411725e-05;4.2541365e-06;1.4811378e-06;3.8608814e-05;2.0490318e-06;2.5120022e-05;4.3207774e-06;1.6705341e-06;1.3367592e-06;6.4344817e-06;4.114281e-06;2.147713e-06
gaia;9.650987e-07;1.014934e-06;1.027269e-06;1.0321726e-06;5.2820687e-05;1.7840132e-06;1.4147553e-06;9.066267e-07;1.2892455e-06;1.9588151e-06;1.5382789e-06;2.4908443e-06
mcdowell;3.0343763e-06;1.4484519e-06;1.3871075e-06;1.7090966e-06;1.5159301e-06;1.5630582e-06;2.1966746e-06;4.4959976e-05;1.9650456e-06;1.5792786e-05;1.8158868e-06;3.4255332e-05
kilroy;3.4604755e-06;1.4673426e-06;1.4163785e-06;1.967545e-06;1.1849254e-06;1.1916662e-06;1.3911488e-06;7.355954e-05;2.251209e-06;1.5086069e-05;1.7397219e-06;2.3220632e-06
conductor;7.312888e-07;1.0263029e-05;1.6446724e-06;2.5943173e-06;0.00033156146;2.4072939e-05;1.5083045e-06;1.2333134e-06;2.1424353e-06;1.3510606e-05;2.735623e-06;4.721813e-06
cheese;7.950054e-06;3.764213e-05;2.763464e-05;3.6063145e-06;1.949387e-06;9.432711e-05;2.1349977e-05;2.5535574e-06;1.4775621e-06;3.897074e-06;4.5039938e-06;2.375031e-06
necessaryto;2.5737709e-06;2.0144987e-06;6.2836048e-06;1.9800436e-06;2.8040083e-06;1.5066558e-06;2.444515e-06;9.314493e-06;1.2349532e-06;2.076185e-06;3.297388e-05;2.0460188e-06
theyhave;4.958474e-05;4.0648324e-06;3.4401364e-05;1.2797377e-05;3.159304e-05;1.3217623e-05;6.4977717e-06;2.2140388e-05;2.4312187e-06;4.597997e-06;5.075437e-05;3.7179327e-06
intrinsic;1.8062e-06;1.2131771e-06;1.7772534e-06;2.163051e-06;3.0914032e-06;5.7713424e-07;9.625276e-07;8.086781e-06;0.00029885885;3.2395653e-06;1.6730854e-06;5.9311515e-06
coordination;1.3229711e-06;1.885973e-06;2.7049375e-06;2.0912543e-05;1.7437519e-06;1.626207e-06;2.69235e-05;1.5132574e-06;2.1833996e-05;2.8331047e-05;2.8806141e-06;3.0401568e-06
documentary;6.059002e-07;0.00024821484;1.521227e-06;5.4551125e-05;1.0677003e-06;5.1470824e-06;1.6809e-06;2.745041e-06;1.0036069e-06;1.9987604e-06;3.1129969e-06;8.969169e-07
exploration;2.7655701e-06;1.827052e-06;2.7734334e-06;4.1203043e-06;1.5671086e-06;1.1017748e-06;1.830056e-06;1.5613023e-06;4.0204388e-05;0.00067069626;2.6623293e-06;2.895943e-06
thatmatter;1.5425426e-06;1.596426e-06;6.4768815e-06;1.5935744e-06;7.3162487e-06;1.9553624e-06;2.7791817e-05;1.2447562e-06;1.9045111e-06;3.566016e-06;1.7077608e-06;3.0031194e-06
yesterday;1.6242294e-06;0.0013059201;3.8085047e-06;0.00022149377;2.4927203e-05;5.7867805e-05;0.00041035665;4.5697852e-06;2.0412244e-06;4.431854e-05;8.2417755e-06;3.8581743e-06
democratic;1.4733874e-06;0.00012174703;4.5688826e-06;0.00018946252;1.3750489e-06;5.760557e-06;2.01074e-06;2.9423084e-06;1.128633e-06;2.905895e-06;0.0003775041;1.1940413e-06
kingdom;7.693503e-06;3.2829996e-06;7.878696e-06;7.191728e-05;2.464383e-06;2.4435271e-06;1.4253645e-06;0.00056079595;5.9346345e-05;2.4061716e-05;3.4727844e-05;5.0406443e-06
monosodium;1.2111967e-06;1.2216747e-06;1.1802186e-06;1.4978601e-06;1.2482741e-06;1.7550753e-06;1.3136497e-06;1.2414379e-06;1.1611007e-06;4.5180364e-05;1.616991e-06;1.838163e-06
highway;5.024529e-06;1.2396677e-05;4.420252e-06;2.0263371e-05;0.00044116125;0.00028544254;7.909296e-06;2.5227102e-06;1.2777116e-05;3.4614684e-05;5.6504323e-05;5.561263e-06
accomplishment;4.0991613e-06;2.325539e-06;2.562684e-06;1.943749e-06;1.4311615e-06;5.131854e-06;3.2258155e-05;2.0354173e-06;1.2509865e-06;1.3339087e-05;9.0469175e-06;2.6483992e-06
tendency;4.2184387e-05;2.4634137e-06;9.093248e-06;6.490549e-06;9.762662e-06;5.70894e-06;4.4199487e-06;0.000103614606;1.8535026e-06;3.099105e-06;6.871599e-06;3.3368074e-06
suspicious;8.623322e-06;4.40406e-05;4.888331e-05;3.2720081e-06;2.9679324e-05;3.491135e-05;2.5788145e-06;2.4296232e-05;4.9562627e-06;3.4485981e-06;8.562992e-06;4.973474e-06
affiliate;3.144711e-06;3.574195e-05;4.6220453e-06;4.39619e-05;2.2613501e-06;1.1292006e-05;5.865418e-05;4.2617653e-06;2.3828889e-05;8.852064e-06;7.0587234e-06;2.756297e-05
philly;9.639398e-07;1.305089e-06;1.1539778e-06;1.464251e-06;9.216748e-06;1.8782455e-06;0.00033091233;1.1933964e-06;1.2149945e-06;2.7869905e-06;1.5321779e-06;3.165426e-06
belly;1.639848e-06;2.588042e-06;1.1227827e-06;3.4972356e-05;1.5043898e-06;6.130044e-05;2.0573361e-06;1.5401693e-06;1.1193962e-06;1.5949876e-05;1.9312067e-06;1.7019631e-06
conditt;1.7979489e-06;1.3749891e-06;1.084249e-06;1.7648264e-06;1.0607006e-06;1.3398302e-06;1.3713756e-06;4.89911e-05;1.051007e-06;1.5847394e-06;1.4586914e-06;1.9365054e-06
anti;0.00015196369;0.0001313696;1.05709705e-05;0.0019992595;6.726113e-06;0.0005015842;8.2831975e-06;0.00017641162;1.4499353e-05;0.00061516184;0.0008128238;4.6924056e-06
socialist;1.1988133e-06;0.0003583914;2.417318e-06;6.5414984e-05;1.2924597e-06;1.003077e-05;2.1576905e-06;2.9093706e-06;9.218472e-07;3.0034707e-06;0.00027246916;1.3438353e-06
catholic;6.3086777e-06;2.511655e-06;1.4691772e-06;1.1961953e-05;1.2867077e-06;1.6619985e-06;1.6234378e-06;0.0015729013;1.5126562e-06;3.535698e-06;2.5039792e-06;2.032898e-06
thefederal;1.0166834e-06;0.00017498399;6.229923e-06;2.6692367e-06;1.1678651e-06;3.0015567e-06;1.4957977e-06;1.7671401e-06;1.0216021e-06;1.9124923e-06;3.452237e-05;1.4410032e-06
make;0.010157765;0.0066481517;0.0045824805;0.0018893044;0.0038724793;0.003839447;0.004401164;0.004507437;0.0026837918;0.0023407312;0.0055510974;0.0001419264
