;0;1;2;3;4;5;6;7;8;9;10;11;12
youneed;4.426008e-06;3.871709e-07;9.359085e-06;2.025054e-06;3.5503523e-05;1.1937603e-06;1.1626644e-06;1.6937053e-06;2.2318068e-06;1.8517776e-06;2.0816012e-06;4.83288e-06;1.0382821e-06
tellme;6.101342e-05;1.9007468e-06;4.6243076e-05;5.350861e-06;2.1983683e-06;1.328059e-06;1.212203e-06;2.7983915e-05;2.3137354e-06;1.8351377e-06;5.298999e-06;6.8380973e-06;1.391717e-06
radical;4.4422973e-06;9.547848e-06;2.2677484e-06;2.701696e-06;2.3823677e-06;0.00018687449;8.830495e-05;8.513128e-06;0.00010041268;6.647832e-05;2.7081654e-05;0.00016648142;1.928295e-05
considerably;1.1602308e-05;2.8487366e-06;6.637218e-05;2.2403947e-05;6.6580986e-05;8.107179e-06;4.609502e-06;3.235988e-05;1.8254606e-05;1.3289466e-05;9.386929e-05;4.00932e-05;5.8188944e-06
hasa;5.0694853e-06;1.3739129e-06;3.5590645e-05;2.9878696e-05;8.919598e-06;3.3355639e-06;1.2081048e-05;2.6049509e-06;1.7828948e-05;2.3064982e-05;1.298606e-05;2.3982448e-06;2.7309163e-06
single;1.828506e-05;4.732868e-05;0.00077353965;0.00051531516;0.00065187144;0.0002981866;0.00022528737;0.0006619089;0.00019386258;0.0013618831;0.0009126828;0.00061613024;0.00035943533
undergrad;0.00031449908;3.377211e-06;2.1734133e-05;2.288873e-06;4.451337e-06;2.6705309e-06;1.9826914e-06;2.5940801e-06;1.739053e-05;2.267941e-06;1.9789284e-06;2.1367607e-06;1.3782801e-06
austin;0.00017156368;0.00062797527;0.0007579648;8.308631e-05;1.1223413e-05;7.463995e-05;2.0528078e-05;0.00023169025;8.0132195e-06;3.1884726e-06;5.965506e-06;0.000109847824;3.6065685e-05
mane;2.0782222e-06;6.9996423e-07;9.982533e-07;1.5152468e-06;1.2781896e-06;1.2375001e-06;1.3028377e-06;1.9181527e-06;0.00053887564;3.0749247e-06;1.3883708e-06;1.6167463e-06;2.747046e-06
majorityof;2.249813e-06;8.022857e-07;1.2003135e-06;1.9346564e-06;1.1390658e-06;3.3805486e-06;6.6027756e-06;1.8329097e-06;1.978272e-05;1.48633535e-05;2.0093157e-06;1.5806279e-06;1.9298743e-06
wrapper;2.9162316e-06;4.9166e-07;2.077291e-06;1.8670802e-06;2.2484492e-05;3.279557e-06;1.3101702e-06;1.2051232e-05;1.6140064e-06;2.385511e-06;2.5433897e-06;7.06545e-05;1.3569145e-06
mist;1.7923103e-06;2.7864675e-07;1.1067406e-06;1.6951649e-06;1.2285138e-06;1.6925674e-06;7.416606e-06;1.5661002e-06;1.3931623e-06;1.5095812e-05;4.3268108e-05;1.3769492e-06;2.5565316e-06
swinge;2.6237415e-06;4.6120186e-07;1.3005009e-06;1.9427953e-06;1.0645863e-06;1.0871903e-06;1.1057293e-06;4.6711215e-05;1.9307386e-06;1.966752e-05;2.4213248e-06;1.1678641e-06;1.7054421e-06
greatly;0.0024276674;2.4054609e-05;0.00048148585;9.089751e-05;0.00014269623;7.082796e-05;1.6384698e-05;4.4313356e-06;1.4221168e-05;0.00010508843;4.2058105e-05;4.8041024e-06;4.1295148e-06
adjustment;5.037e-06;2.6502978e-06;3.6733585e-05;3.741739e-05;4.5436038e-05;2.3767013e-06;1.5805148e-06;7.087615e-05;4.5860043e-06;4.9198938e-05;1.2942484e-05;2.3360544e-06;8.225356e-05
opponent;6.6735834e-06;2.8274628e-06;1.6613732e-06;2.450963e-06;2.0784335e-06;7.6123083e-06;5.7767113e-05;0.00017302224;9.717655e-05;5.1017556e-05;4.1942926e-06;0.00019376687;1.8076085e-05
withhis;1.9310257e-06;1.0001895e-06;1.3353304e-06;1.5278375e-06;1.0530608e-06;1.960892e-06;3.2921555e-05;3.4623458e-06;1.9127158e-06;2.2645759e-06;1.8984364e-06;1.3760801e-06;7.7715995e-06
renounce;4.339127e-06;8.733472e-07;1.2774456e-06;1.3828898e-06;1.2263916e-06;4.0762893e-06;7.9007994e-05;1.8862439e-06;1.1530698e-05;1.3955732e-05;2.2570455e-06;2.0340328e-06;1.8961061e-06
standardized;3.3624347e-06;2.4745756e-07;3.5692956e-06;2.817715e-06;3.0118752e-05;1.213015e-06;1.1432643e-06;1.4275029e-06;1.3355914e-06;8.326409e-06;2.156339e-06;2.4342164e-06;1.1243479e-06
brush;9.053043e-06;2.0340701e-06;2.6919624e-06;2.5834402e-06;3.0037603e-05;1.7045926e-05;6.114249e-06;2.574698e-06;2.7207647e-05;4.1426596e-05;3.103775e-06;2.6028629e-06;4.435387e-06
gregory;0.0007189378;4.054857e-06;0.00013319709;4.6324076e-06;1.1839305e-05;4.033241e-06;3.0709245e-05;2.0380052e-05;1.7959086e-06;3.1751547e-06;5.756084e-05;2.8374673e-06;1.5128137e-06
