;0;1;2;3;4;5;6;7;8;9;10;11;12;13
youneed;1.7677188e-06;8.741575e-06;5.6957642e-06;3.8908063e-05;7.6436504e-07;9.540288e-07;9.103555e-07;1.1098278e-06;3.7363443e-06;5.389292e-07;1.0834076e-06;8.790996e-07;6.692236e-07;7.575013e-07
tellme;5.2562496e-05;6.0864128e-05;6.7352726e-06;1.2487263e-06;6.9109177e-07;2.2475104e-05;9.889046e-07;1.4327177e-06;7.969031e-07;2.128291e-06;3.0989454e-06;6.009799e-06;7.7340957e-07;6.515436e-06
radical;2.6742027e-06;1.8949855e-06;6.4087835e-05;1.1419019e-06;0.000108342276;5.177681e-06;5.7888738e-05;3.2195825e-05;2.6768994e-06;2.5455796e-05;1.7294092e-06;0.00013012753;7.0122194e-05;2.5639349e-05
considerably;4.66162e-06;9.51933e-05;4.0653693e-05;7.9691345e-05;1.6470419e-06;3.564743e-05;1.7889195e-05;3.0503608e-05;1.562682e-06;8.540446e-06;2.139589e-05;1.18139305e-05;4.6972473e-06;9.2086644e-05
hasa;2.737703e-06;4.327926e-05;1.313543e-06;7.989829e-06;1.4312491e-06;1.0520662e-06;5.0941482e-05;1.0511993e-05;1.0351417e-06;1.2673398e-06;2.2087703e-05;1.6321175e-06;1.5820557e-05;1.6039547e-05
single;8.599671e-06;0.0005972159;0.0004864044;0.0005934115;0.00014381095;0.00053407595;0.0011456381;0.00043725042;0.00028822944;9.026438e-05;0.0004369451;0.0002511112;0.00019221561;0.00090622366
undergrad;0.0003169383;3.977109e-05;1.1656439e-06;2.8519235e-06;9.107426e-07;1.5287106e-06;1.5715798e-06;1.7991293e-06;1.1775242e-06;2.047599e-06;1.5021785e-06;3.601149e-05;1.3959568e-06;1.3060917e-06
austin;0.00013394728;0.0006904921;0.00012366704;6.2287813e-06;0.00020979648;0.00017942202;1.7577961e-06;3.50356e-06;2.8572513e-06;0.00043864164;0.0001173853;2.8579066e-06;2.6123068e-06;2.7226638e-06
mane;1.8828326e-06;5.394814e-07;9.471893e-07;6.9309743e-07;5.4054993e-07;6.184117e-07;8.4747387e-07;9.3959915e-07;7.8886154e-07;4.985969e-07;6.168287e-07;0.000459173;7.0503535e-07;6.215546e-07
majorityof;2.1910523e-06;7.08515e-07;8.801855e-07;8.1142184e-07;8.5171405e-06;1.3016556e-06;1.2490296e-05;6.638458e-06;1.3435429e-06;1.3000346e-06;1.7678295e-06;2.8478142e-05;3.1667544e-06;7.774813e-07
wrapper;1.6730535e-06;1.0606038e-06;4.097989e-05;2.6634505e-05;1.3570956e-06;1.6388844e-05;9.587992e-07;2.0518662e-06;8.3767037e-07;6.223866e-07;1.0226748e-06;8.5563056e-07;7.654875e-07;7.6583285e-07
mist;1.0955121e-06;7.3242086e-07;7.1004206e-07;7.726377e-07;9.345987e-07;7.9287213e-07;2.626798e-06;1.1520963e-06;1.4418091e-05;6.496296e-07;4.1946387e-05;8.9171283e-07;9.130434e-06;9.338014e-06
swinge;1.2632822e-06;7.359491e-07;7.3446586e-07;7.232459e-07;6.8494376e-07;9.4816176e-05;1.9561612e-05;1.3616204e-06;6.0846314e-06;7.4985934e-07;1.1744991e-06;9.723482e-07;7.3417095e-07;7.598586e-07
greatly;0.0016842302;0.0005238814;2.3136652e-06;0.00014556931;4.260841e-06;2.7984631e-06;1.3760852e-05;0.0002821947;1.9170571e-05;3.2081973e-06;0.00012625441;5.171495e-06;3.4286117e-05;5.7594043e-05
adjustment;3.4882669e-06;4.807337e-05;1.512705e-06;5.735632e-05;1.0867269e-06;8.561737e-05;5.6759404e-06;5.516444e-05;1.4587205e-06;5.802955e-06;5.1315914e-05;6.129004e-05;1.1323577e-06;1.0664297e-05
opponent;3.3310394e-06;9.4441236e-07;0.00019715645;1.278361e-06;4.0837287e-05;0.00012401401;0.000112981375;2.4548794e-06;2.6639573e-06;4.610104e-06;1.2936393e-06;7.8320685e-05;3.8978145e-05;1.2041291e-06
withhis;1.1905231e-06;6.0013156e-07;6.4327065e-07;7.518444e-07;1.2715851e-06;1.5786411e-06;9.1794715e-07;8.9697375e-07;2.2789543e-05;1.6319731e-06;1.3568257e-06;9.369138e-07;3.0074352e-05;6.913829e-07
renounce;1.6013411e-06;6.3972016e-07;7.977472e-07;8.27118e-07;0.00010931158;8.2456665e-07;1.9121237e-05;1.5711588e-06;9.874236e-07;1.1041218e-06;1.1664698e-06;1.054665e-06;1.9575673e-05;6.8345906e-07
standardized;1.5629874e-06;3.4739296e-06;1.4285787e-06;3.4723038e-05;8.2782225e-07;1.0644411e-06;9.363582e-07;7.5334465e-06;8.104204e-07;4.818062e-07;4.1305225e-06;8.5326985e-07;7.220674e-07;7.504733e-07
