;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
youneed;8.6092734e-07;7.557616e-07;8.570407e-07;1.0229458e-06;9.0478414e-07;9.19526e-07;8.135563e-06;1.9306965e-06;8.086051e-07;6.2466884e-06;5.9782287e-06;7.28944e-07;3.2963726e-05;1.209301e-06;5.2775073e-07
tellme;6.885258e-07;1.9320616e-05;3.808e-06;7.277281e-07;1.6819268e-06;4.101414e-06;3.2745884e-05;7.447958e-05;8.3661695e-07;1.182804e-06;5.934611e-06;9.212729e-07;1.0038389e-06;4.3581717e-06;9.187614e-07
radical;0.00014766488;6.4412707e-06;9.416782e-05;5.3868556e-05;5.2596548e-05;1.5918584e-05;1.8641769e-06;2.2040522e-06;6.69307e-05;2.2663653e-06;9.228548e-05;6.6698776e-05;1.1945303e-06;2.3495957e-06;5.745718e-05
considerably;1.8401425e-06;3.7862017e-05;1.5228333e-05;2.4057414e-05;3.2728076e-05;0.00012793535;6.0996394e-05;1.1347583e-05;4.43079e-06;2.5562213e-06;5.715923e-05;1.337911e-05;0.000105604195;2.0237356e-05;1.462661e-05
hasa;1.2465142e-06;1.2456494e-06;1.3736073e-06;4.6078523e-05;1.5975014e-05;1.7061226e-05;5.749565e-05;2.174248e-06;1.3110038e-05;1.730342e-06;1.6682031e-06;1.3965105e-06;6.7170454e-06;2.6224563e-05;1.7058226e-06
single;0.00016955996;0.00062758336;0.00036773577;0.0012367951;0.00038722449;0.0008795992;0.00079763203;4.5626794e-06;0.00021611608;0.00046628033;0.00046801605;0.0005687288;0.0005251402;0.0004164091;3.163708e-05
undergrad;8.527502e-07;9.924584e-07;5.5727076e-05;1.109802e-06;2.2610902e-06;9.561029e-07;1.5522894e-05;0.00026199067;1.3878563e-06;1.5273142e-06;1.2443347e-06;1.1597789e-06;6.1474466e-06;1.4823746e-06;2.2355036e-06
austin;0.00022724783;0.0003069158;4.854989e-06;1.8527447e-06;4.8362776e-06;3.1096606e-06;0.0005172919;0.00025621275;2.865316e-06;4.2861066e-06;0.00012454364;2.1982853e-06;7.718656e-06;0.00021270027;0.00029136048
mane;7.1020787e-07;5.833366e-07;0.00048426338;1.0121626e-06;1.7770737e-06;7.300569e-07;6.8105726e-07;4.7555184e-07;7.979089e-07;7.8269954e-07;9.109748e-07;6.4884586e-07;6.401066e-07;1.0351101e-06;7.157388e-07
majorityof;1.4413125e-05;9.654647e-07;5.1786552e-05;1.2492754e-05;9.238296e-06;1.0718448e-06;8.448867e-07;1.3105536e-06;4.2772635e-06;9.269267e-07;1.2580771e-06;1.383761e-06;7.979158e-07;3.03599e-06;1.6097554e-06
wrapper;2.8434956e-06;1.4016711e-05;9.235861e-07;1.0966612e-06;2.0268283e-06;9.55999e-07;1.3383554e-06;1.5490401e-06;9.699902e-07;5.582334e-07;6.7328554e-05;9.041305e-07;3.593701e-05;1.3354885e-06;6.6869234e-07
mist;9.3827754e-07;6.7363544e-07;1.0181192e-06;1.9568454e-06;9.629935e-07;4.9499824e-05;9.76586e-07;1.0102942e-06;9.684886e-06;3.1513944e-05;7.676819e-07;6.7112234e-07;6.3322494e-07;1.2933941e-06;5.552146e-07
