;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
youneed;4.910729e-16;2.1991806e-05;2.1257458e-16;1.2340922e-08;2.5786714e-12;4.4415563e-10;9.124405e-12;2.8639182e-09;1.1100014e-08;5.6217425e-05;4.67166e-09;1.2363603e-17;0.00013613405;2.1233344e-18;2.0173e-41;1.9393266e-07
tellme;1.2432342e-11;0.00018360399;3.8565964e-10;2.1544536e-06;3.44241e-14;5.423385e-07;6.64901e-07;1.5596361e-16;1.3369511e-06;5.531591e-05;1.6751172e-06;3.2129406e-14;1.0635465e-12;1.9240733e-07;9.47555e-16;3.540271e-06
radical;5.8284107e-12;3.9550097e-05;6.6534533e-10;6.1772e-05;4.3577586e-11;2.3501607e-05;1.2572818e-05;8.461723e-10;4.0133673e-05;5.4265824e-05;9.463804e-05;3.344137e-10;6.2913884e-08;4.4647027e-08;2.5370976e-13;0.00010106038
considerably;1.7951649e-10;3.0850373e-05;1.9260102e-07;0.0002547555;5.5014636e-05;0.00026402937;0.0001317935;3.066731e-07;0.00038687032;5.2515843e-05;6.635609e-05;0.0030618296;1.1748909e-07;7.251625e-09;9.310486e-07;5.4507225e-05
hasa;5.0439867e-14;6.65634e-05;3.0920576e-12;3.243761e-06;8.257948e-13;2.4819457e-07;1.5670003e-07;3.761918e-15;2.1068747e-06;6.9049405e-05;2.4626197e-06;1.0108863e-11;1.02170246e-13;5.3831794e-08;3.7729976e-16;6.6532007e-06
single;6.8991443e-13;4.2410633e-05;2.203626e-06;0.00019635326;1.08480236e-07;0.0009562825;9.907233e-05;1.8287015e-07;0.0003148598;4.876382e-05;0.0002197105;1.1230102e-06;4.5090406e-08;1.336313e-08;3.1587164e-09;0.00011932002
undergrad;1.0526682e-12;0.00014353929;1.4807883e-06;3.3061082e-05;2.5657672e-13;8.464786e-06;4.0375867e-06;8.9746196e-13;9.555347e-06;3.4198958e-05;9.7129505e-06;3.0964936e-13;5.0264213e-11;0.0003330881;9.386429e-14;1.3492025e-05
austin;4.2141363e-10;0.000550419;2.480556e-08;2.3368513e-05;4.695467e-12;9.555294e-06;1.7622862e-05;7.716995e-08;4.1380375e-05;4.559506e-05;4.3095635e-05;5.304486e-09;2.3026815e-11;0.00865959;6.75416e-12;3.3271062e-05
mane;2.5026434e-21;0.0005349117;2.380594e-17;1.0415698e-07;5.7160025e-24;2.2908802e-09;8.361878e-08;3.36e-43;1.41278e-07;0.00017483717;3.3011918e-09;4.737676e-27;1.2150191e-22;3.2366478e-11;8.286491e-34;2.0131191e-08
majorityof;1.4322274e-28;6.548359e-07;1.0706491e-12;7.270133e-09;5.886852e-12;1.6700407e-06;1.0524074e-09;4.885157e-15;4.0442347e-09;0.0002503455;9.20172e-10;1.7169073e-08;9.324787e-33;6.0738346e-18;2.6021456e-18;1.14779745e-07
wrapper;3.2796154e-20;2.7338044e-06;1.3570271e-17;8.585346e-05;4.699296e-07;1.0376185e-06;2.9999586e-12;2.5659673e-08;6.503797e-07;7.098302e-05;7.6246394e-08;0.000620347;4.8456404e-15;1.6163343e-10;1.0935915e-07;3.469959e-05
mist;3.70696e-09;7.162964e-05;2.2699844e-06;2.782127e-05;4.11254e-08;2.9038923e-05;8.333065e-05;2.5910865e-10;8.418623e-05;3.9969593e-05;4.7709822e-05;5.73289e-06;4.2971783e-07;1.2150097e-06;1.04371935e-07;4.1106443e-05
