;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
youneed;5.8788232e-06;3.4405673e-06;6.150033e-06;8.632547e-07;8.634152e-07;9.550231e-07;6.223342e-06;1.1103041e-06;1.1473583e-06;1.0883674e-06;5.415251e-07;6.6962076e-07;1.1749509e-06;9.757889e-07;1.6032955e-06;5.4121374e-05;1.0852289e-05
tellme;1.1015711e-05;0.00011194751;1.1635555e-06;8.6868874e-07;8.7050665e-07;2.8103668e-05;9.1620075e-07;5.7977322e-06;1.7277206e-06;2.1404783e-06;1.2733835e-06;8.307823e-07;1.9359863e-06;8.8206815e-07;9.795068e-06;9.2371187e-07;5.2064144e-05
radical;0.00010302715;1.4327504e-06;1.3733459e-06;8.498886e-05;8.966897e-05;7.936319e-06;3.3645633e-06;3.5848116e-05;5.499707e-05;1.2749922e-06;6.067446e-06;1.8789e-05;7.342074e-05;7.393035e-05;0.00014835317;1.6241623e-06;1.5168683e-06
considerably;6.2221436e-05;5.071042e-06;5.4221728e-06;1.9240051e-06;4.022536e-06;3.4988025e-05;3.7917364e-06;0.00010531209;2.77427e-05;2.8512766e-05;1.1426616e-05;2.7179583e-06;3.2117434e-06;2.312582e-05;1.6032947e-05;9.239269e-05;0.00011354315
hasa;1.0132342e-06;2.7668843e-06;7.327861e-06;1.5756347e-06;1.2267187e-05;1.0142481e-06;8.3192856e-07;1.4842287e-05;1.3855814e-05;2.4989373e-05;1.712726e-06;1.6081146e-06;2.685291e-06;4.948733e-05;2.4693466e-06;3.019578e-06;2.2868267e-05
single;0.00045595912;8.227841e-06;0.0007347578;0.0001702348;0.00023154837;0.0006573573;0.0004229028;0.00095984543;0.0003797194;0.00052418106;5.644525e-05;0.00032224422;0.00015904622;0.0011017965;0.00032036126;0.0006473359;0.0007331121
undergrad;1.2176471e-06;0.0002789419;1.686528e-05;1.0478427e-06;1.1037248e-06;9.0907685e-07;6.1960354e-06;1.2681982e-06;1.7258565e-06;1.1088761e-06;1.1235362e-06;8.6998176e-07;3.6800946e-06;1.1624306e-06;6.4681706e-05;1.4836535e-06;4.4816377e-05
austin;0.0001091123;5.2133117e-05;2.461662e-05;0.0001478156;2.5357008e-06;0.0001816083;6.5422087e-06;3.1398954e-06;4.2133142e-06;0.000116877054;0.00056279264;2.4469335e-05;4.0592826e-05;1.9340807e-06;5.882951e-06;1.1672893e-05;0.00068543234
mane;7.3035454e-07;7.4334224e-07;6.6824316e-07;6.77959e-07;7.940943e-07;1.0315524e-06;0.00056206674;9.60342e-07;1.0998043e-06;8.1637563e-07;4.4681428e-07;8.595592e-07;1.0824805e-06;8.211186e-07;3.1353811e-06;6.018124e-07;6.49631e-07
majorityof;1.1334467e-06;1.3754548e-06;8.71994e-07;1.0225567e-05;2.6638822e-06;9.856377e-07;3.582936e-06;1.3063977e-06;7.88725e-06;1.3075588e-06;1.4960831e-06;1.1646683e-06;1.7304434e-05;1.2056489e-05;4.2878495e-05;8.0768757e-07;7.915692e-07
wrapper;7.026311e-05;1.3958125e-06;1.5170127e-06;2.3332095e-06;8.0539274e-07;1.49651205e-05;7.0885994e-07;1.0968832e-06;1.9260922e-06;1.0726266e-06;6.197412e-07;7.7044876e-07;1.0936341e-06;1.0575968e-06;1.5397244e-06;3.8838814e-05;8.7948405e-07
mist;7.146814e-07;1.0819745e-06;8.472372e-07;1.1222718e-06;1.0451186e-05;9.000243e-07;6.4476177e-07;1.1466808e-05;1.2631839e-06;4.6925554e-05;8.0840124e-07;2.1399885e-06;1.0418555e-06;1.3175539e-05;1.241637e-06;7.977997e-07;8.279775e-07
swinge;6.818868e-07;1.0676662e-06;7.0964927e-07;7.1842453e-07;7.3471415e-07;9.104968e-05;6.8083923e-06;8.795416e-07;1.1994639e-06;1.333165e-06;7.339198e-07;8.941463e-07;9.81829e-07;1.6619544e-05;1.4473383e-06;7.096611e-07;6.944557e-07
