;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
youneed;1.6939703e-06;3.8992744e-06;1.4991089e-06;1.3450997e-06;1.6471424e-06;1.2202295e-06;5.8717745e-07;1.061305e-06;2.2018544e-06;7.8077155e-06;1.4247088e-06;1.1515233e-05;5.2926373e-07;3.3787614e-06;4.41326e-05;5.391244e-07;1.7815764e-06;1.699924e-06
tellme;5.807115e-06;0.00014103003;1.2820431e-06;1.4955583e-06;1.1864679e-06;1.3300312e-06;1.9718793e-06;1.1063973e-06;2.6790267e-06;7.448636e-06;1.1447552e-06;3.89331e-05;1.7098893e-06;4.2150746e-06;1.545782e-06;1.786349e-06;7.0418446e-06;1.6575359e-05
radical;3.499635e-05;2.328914e-06;0.0001815458;7.812091e-05;1.5153573e-05;2.082795e-05;1.22417e-05;6.8092544e-05;3.2675737e-06;0.00016312307;0.00012437535;2.8404625e-06;1.049987e-05;7.83556e-06;1.7592747e-06;9.321962e-06;2.6914718e-06;6.7260744e-06
considerably;7.601741e-05;4.0479235e-06;3.6774136e-06;2.6219184e-05;8.753048e-05;4.2476613e-06;3.0436245e-06;4.2531647e-06;5.665224e-06;5.0886876e-05;1.05570725e-05;4.652313e-05;3.0799238e-06;4.4066246e-06;8.8275054e-05;3.4432514e-06;1.2445619e-05;4.715736e-05
hasa;2.1709853e-05;3.1486832e-06;3.6123613e-06;1.34779575e-05;3.329884e-06;2.9998941e-06;1.0546812e-06;1.958428e-05;2.5462793e-06;1.7667554e-06;4.6663845e-05;3.1523305e-05;1.0493914e-06;2.0077741e-06;4.8290744e-06;1.0382572e-06;2.832669e-05;2.2670483e-06
single;0.00093417004;9.431194e-06;0.00013880353;0.00041889588;0.00031920147;0.0002478504;1.9287754e-05;0.00021923608;0.0005341363;0.0003673559;0.0012654603;0.0009940082;2.530119e-05;0.0004152913;0.00072883203;2.4061415e-05;0.00036219717;0.00066671986
undergrad;1.7801448e-06;0.00042019237;1.9326894e-06;2.210452e-06;2.6649159e-06;1.8341657e-06;3.0167812e-06;1.6325347e-06;8.141942e-06;1.2668793e-06;1.4517339e-06;4.3676523e-06;2.487637e-06;3.0197974e-05;3.765567e-06;2.6080659e-06;2.3850587e-06;2.0677471e-06
austin;4.998538e-06;5.4556574e-05;0.00013470073;4.416425e-06;1.7081726e-05;3.0343863e-05;0.0005374736;5.3894873e-06;4.6075074e-06;7.4567884e-05;3.087251e-06;0.00051136053;0.000449281;4.701695e-06;8.157271e-06;0.0004215758;0.00014918619;0.00020496914
mane;1.5336151e-06;1.062519e-06;1.0039998e-06;4.7293356e-06;1.9335364e-06;1.578382e-06;2.6918448e-07;9.450928e-07;1.1778981e-06;1.2335117e-06;1.4364746e-06;9.0169516e-07;2.2046778e-07;0.00040595853;8.7284894e-07;2.1764238e-07;1.0891825e-06;1.0748108e-06
majorityof;2.1390645e-06;1.339338e-06;8.601933e-06;1.1588968e-05;4.5666184e-05;2.4391013e-06;1.7928928e-06;3.7325372e-06;1.7251563e-06;1.7566916e-06;1.0543198e-05;1.1975644e-06;1.4595794e-06;1.1881354e-05;1.1465922e-06;1.4096214e-06;3.2378584e-06;1.5251774e-06
wrapper;1.703051e-06;1.9294673e-06;2.682168e-06;2.2084146e-06;2.7580945e-06;1.3311391e-06;7.501524e-07;1.2383645e-06;1.9364588e-06;5.08075e-05;1.5231535e-06;1.8654198e-06;6.361567e-07;1.3917196e-06;3.652845e-05;6.3874165e-07;1.5483743e-06;1.7325992e-05
mist;5.9893595e-05;1.3083123e-06;2.2894374e-06;1.3791098e-06;1.4950222e-06;2.6471018e-06;3.9155617e-07;7.382393e-06;1.2995725e-06;1.1653232e-06;1.8319419e-05;1.1444755e-06;3.6010033e-07;1.6476798e-06;9.844065e-07;3.4640624e-07;1.681918e-06;1.365203e-06
swinge;1.9640377e-06;2.2115628e-06;1.1697473e-06;1.2408751e-06;1.2079101e-06;1.7273547e-06;6.0387777e-07;1.1133875e-06;1.0877021e-06;1.0381278e-06;1.1482793e-05;1.1267256e-06;5.112287e-07;3.704585e-06;1.0875603e-06;4.8332794e-07;3.3688586e-06;7.114582e-05
greatly;4.0961997e-05;0.0035501437;6.5675226e-06;0.00029279728;4.2307787e-05;3.2755183e-06;1.6875083e-05;1.74801e-05;3.6258054e-05;2.299454e-06;2.8780294e-06;0.000415966;1.7142978e-05;6.4117444e-06;0.00018850825;2.047568e-05;9.327643e-05;5.4094407e-06
adjustment;8.161869e-06;1.8684584e-06;1.6966228e-06;5.1644198e-05;7.5390395e-05;6.230653e-05;3.296006e-06;1.3758286e-06;2.818633e-06;2.126323e-06;6.042371e-06;6.830379e-05;3.6765032e-06;2.576912e-06;3.690388e-05;3.653993e-06;4.6502668e-05;9.791549e-05
opponent;3.0753158e-06;1.947189e-06;5.3202566e-05;2.605774e-06;7.3201722e-06;2.3925897e-05;4.5451447e-06;5.0545554e-05;3.287017e-06;0.00020681425;0.00012132879;1.4104999e-06;3.894863e-06;6.343981e-05;1.6058742e-06;3.3746408e-06;2.3555954e-06;0.00014499773
withhis;1.4310156e-06;1.8746142e-06;3.2084167e-06;1.4187992e-06;1.4140769e-06;7.4656286e-06;9.2079483e-07;3.0559102e-05;1.002409e-06;1.0674553e-06;1.8591775e-06;1.0851415e-06;8.005145e-07;3.5053422e-06;9.354003e-07;7.234875e-07;1.6766667e-06;2.8659815e-06
renounce;1.5393003e-06;2.3793361e-06;7.249919e-05;1.1928555e-06;1.6203383e-06;1.4936654e-06;1.5563085e-06;2.4433773e-05;1.365354e-06;1.3674528e-06;2.5386642e-05;9.3082116e-07;1.236029e-06;1.6417133e-06;9.806987e-07;1.063691e-06;1.3366189e-06;1.2366313e-06
standardized;1.8485209e-06;4.392073e-06;1.4785821e-06;9.711604e-06;1.824598e-06;1.1971155e-06;4.907132e-07;1.0835046e-06;5.151146e-06;1.8378552e-06;1.3925047e-06;6.265989e-06;4.436649e-07;1.1980167e-06;3.2586777e-05;4.4809403e-07;1.823801e-06;1.6154714e-06
brush;2.5778775e-06;2.904174e-06;4.6700134e-05;4.4524604e-05;4.037153e-06;3.5864437e-06;2.4284227e-06;8.185042e-06;2.8897875e-06;1.8209306e-06;2.030033e-05;1.8820471e-06;2.13229e-06;2.2732138e-05;5.211846e-05;1.9228382e-06;3.092105e-06;2.4427227e-06
gregory;6.547981e-05;0.00089444494;4.9667347e-06;3.0847216e-06;1.2678182e-06;1.8608407e-06;3.4886477e-06;4.9665603e-05;3.6609385e-05;1.5233696e-06;1.8971468e-06;9.1224756e-05;3.327674e-06;1.953249e-06;6.066885e-06;3.5390697e-06;4.6266755e-06;1.5721283e-05
steam;0.00039690168;1.99232e-06;4.9094133e-06;2.983688e-05;4.6406717e-06;2.2687384e-06;8.345626e-07;1.8033446e-06;1.964779e-06;1.77939e-06;1.6794138e-06;2.0376328e-06;7.409426e-07;1.6285459e-06;1.3159619e-06;7.3806456e-07;1.6287435e-05;7.613668e-06
badly;5.770665e-05;2.4348547e-06;5.797579e-06;3.2839573e-06;1.7684484e-05;0.00020955004;1.3265391e-05;1.1915101e-05;2.664178e-06;7.007029e-05;3.6458878e-05;4.782324e-06;1.3726296e-05;0.00011659429;2.5360352e-05;1.2752564e-05;4.804189e-05;8.104209e-05
david;0.0005695464;0.0071297535;0.00041788912;0.0021760818;5.199162e-05;0.0005558423;0.00033265285;0.0010855324;0.0011115308;0.003250156;0.00062552857;0.00068720256;0.00035545343;0.0025517517;0.00043431905;0.00037457678;0.00051267265;0.0018405066
lourde;1.6047567e-06;1.5753516e-06;3.8008038e-06;3.9058552e-05;1.4236598e-06;1.1514413e-06;4.6077056e-07;9.5519325e-05;1.08372e-06;8.991276e-07;1.6283568e-06;1.0728082e-06;3.719491e-07;1.2634838e-06;8.975784e-07;3.6129126e-07;1.4309936e-06;1.4103957e-06
connecticut;4.9444816e-06;4.2219795e-06;1.9758386e-06;4.0240257e-06;8.058462e-06;1.6745282e-05;8.877453e-07;1.3126457e-06;6.690102e-05;3.4772977e-06;3.331901e-05;1.557364e-06;8.33933e-07;5.1900147e-06;1.3145695e-06;7.590651e-07;4.1235497e-05;3.2798469e-06
energia;8.309698e-05;1.4886978e-06;1.326456e-06;1.1245912e-06;1.1018063e-06;8.5599765e-07;2.2388868e-07;8.36006e-07;1.2178887e-06;9.180083e-07;9.925367e-07;9.661284e-07;1.9336275e-07;9.540652e-07;8.212374e-07;1.9011405e-07;1.2627595e-06;9.296444e-07
middle;0.00016373646;0.00028154423;0.00019774954;9.719851e-06;0.0003224205;0.00037920047;0.0003005192;0.00017253317;2.8873137e-05;7.476022e-05;0.0007676206;0.00012474856;0.000310461;3.6172878e-05;2.5385929e-05;0.00031974632;0.0002138577;0.00026592947
asic;1.5473631e-06;2.0665605e-06;1.0968081e-06;1.1477171e-06;1.4480553e-06;9.489255e-07;4.410062e-07;8.5198434e-07;1.2198171e-06;4.88225e-05;1.2044746e-06;2.1672882e-05;3.7092929e-07;1.146796e-06;1.028852e-06;3.7087062e-07;1.3181888e-06;1.0663692e-06
tokyo;9.154963e-06;1.042543e-05;1.4357133e-06;2.068432e-06;2.486857e-06;5.7059602e-05;5.7142876e-07;1.0608275e-06;0.00021466018;2.2519548e-06;2.6603311e-06;2.2092281e-06;6.150561e-07;2.0207153e-06;2.9284958e-05;5.364605e-07;2.1262997e-06;3.7066916e-06
testimony;2.863403e-06;1.1339033e-06;9.4306815e-05;5.3581934e-06;4.9275145e-06;5.9404305e-05;3.0439353e-06;0.00026698376;1.7689208e-06;2.0666341e-06;6.342108e-05;7.741641e-07;2.7242359e-06;0.00019233991;1.1961772e-06;2.2294678e-06;2.1163262e-06;3.7463099e-06
matter;0.0007728822;8.49015e-06;0.0018045616;0.00034140167;0.00019021082;0.0005319628;0.0007369679;0.0007805304;8.232356e-06;0.00053686346;0.00033921696;2.2070519e-05;0.0007073466;0.0007393067;4.2144748e-05;0.0006286372;0.00032374033;0.00039550095
telecommunication;0.000110320725;4.505268e-06;2.0282225e-06;1.7851467e-06;3.211576e-06;1.5837318e-06;4.4942814e-07;9.695065e-07;1.5776403e-05;0.00044770015;1.5609359e-06;2.6382058e-06;3.8163813e-07;1.4699656e-06;3.5113874e-06;3.9994845e-07;1.6242196e-06;1.1632675e-06
idle;4.2545325e-06;4.2595098e-06;2.8723303e-05;2.6522212e-06;1.49068555e-05;2.5932002e-06;5.5356704e-06;6.932462e-05;4.1280996e-06;5.0094703e-05;2.1767767e-06;4.262344e-05;5.029624e-06;3.599435e-06;0.0001258325;5.1030543e-06;0.00037128845;0.00040638304
diving;3.9297764e-05;2.2452227e-06;1.7445547e-06;1.6418822e-06;2.6909165e-06;3.7321788e-06;6.081725e-07;1.1916914e-06;5.305093e-06;1.3033526e-06;9.19399e-06;1.1261745e-06;5.582984e-07;1.532646e-06;1.3541363e-06;5.353259e-07;1.7951179e-06;1.4721236e-05
timmon;1.4229347e-06;1.394113e-06;0.0003010399;1.0365161e-06;1.6844177e-06;6.580774e-07;1.621215e-06;4.4618696e-06;1.0700538e-06;1.0015018e-06;1.2911619e-06;5.7820426e-07;1.1567704e-06;1.1080042e-06;8.013105e-07;9.2336506e-07;1.0462666e-06;8.864175e-07
province;2.5300765e-06;7.303345e-07;2.3190769e-06;0.0001007037;0.0002358669;4.05672e-06;1.0051981e-06;1.6772958e-06;3.2361525e-06;2.225757e-06;0.00031564417;1.2870402e-05;9.2229476e-07;2.4795702e-06;1.5549001e-06;9.850743e-07;1.9638146e-06;4.1790677e-06
oscar;1.4548254e-05;4.5553024e-06;1.5866214e-06;1.7126706e-06;2.8186878e-06;1.7036556e-06;9.271949e-07;1.9362253e-06;1.9370132e-06;1.5559091e-06;1.4495743e-06;1.1072096e-05;8.311516e-07;2.767934e-06;1.4937478e-06;8.309726e-07;2.8332242e-06;0.0001112495
lehigh;4.9567684e-06;0.00048655015;1.6975015e-06;0.00017405723;3.177543e-06;2.8890477e-06;4.9083937e-06;1.5538466e-06;2.5473737e-05;1.1931332e-06;1.7540017e-06;7.7460914e-05;4.3522496e-06;8.405263e-06;1.7109334e-06;4.298449e-06;0.000747476;8.2883555e-05
impress;2.2108334e-06;3.8491322e-05;2.3359687e-05;1.2251321e-05;5.996724e-06;3.1420366e-06;2.6676373e-05;2.776042e-06;8.5713855e-06;2.1461822e-06;3.9544875e-06;4.5261302e-05;2.193207e-05;3.301281e-06;5.564786e-06;2.0994437e-05;1.0803922e-05;2.044393e-05
champ;1.4320545e-06;3.0783763e-06;9.756889e-07;1.0571904e-06;9.685119e-07;9.972272e-07;5.894385e-07;9.60571e-07;1.0816868e-06;1.0519248e-06;1.2842517e-06;3.286414e-06;4.897827e-07;1.11e-06;1.1064034e-06;4.7175672e-07;1.8301849e-06;0.00027157043
theserial;1.6316749e-06;1.9051088e-06;1.2189099e-06;1.1644099e-06;1.6625517e-06;1.0489674e-06;4.79042e-07;8.520014e-07;1.3522762e-06;7.740959e-05;1.2212859e-06;6.5871604e-06;3.899343e-07;1.1764885e-06;1.040547e-06;3.8802355e-07;1.3733792e-06;1.1680042e-06
sheffield;1.47803e-06;2.420376e-06;1.2006775e-06;1.1483039e-06;1.0290914e-06;1.0576715e-06;4.6968685e-07;1.0839707e-06;1.5461709e-06;1.0423967e-06;1.5138592e-06;1.4063427e-06;4.116367e-07;1.2427867e-06;2.9979661e-05;4.0453943e-07;1.6625894e-06;0.00023073702
sarto;1.2000552e-06;1.5876165e-06;3.198346e-06;1.1558532e-06;9.124465e-07;7.991005e-07;3.8086347e-07;8.6278065e-05;9.0706175e-07;8.459969e-07;1.4915265e-06;9.526206e-07;3.0759801e-07;1.1563294e-06;8.3552357e-07;2.9578678e-07;1.1564472e-06;1.152809e-06
treasury;2.238313e-06;1.4838007e-06;3.1777536e-06;2.0622294e-06;3.3728263e-06;6.26287e-05;1.5182441e-06;2.4618037e-05;1.8643054e-06;2.3963865e-05;3.135135e-06;1.2726239e-06;1.3630333e-06;0.00013315663;1.0563075e-06;1.1952194e-06;1.5558137e-05;1.8353358e-06
crony;2.7699298e-06;1.9440256e-06;1.9596307e-06;4.392807e-06;1.2794555e-05;8.3190325e-06;1.2525222e-06;1.5063672e-06;1.8680001e-06;1.6774094e-06;4.9908427e-05;1.493905e-06;1.1169723e-06;1.6097601e-05;2.117893e-06;1.0684206e-06;1.4545638e-05;2.253129e-06
velocity;0.00063108606;6.0728007e-06;2.0942523e-06;2.7297522e-06;2.6719702e-06;2.2345234e-06;6.361982e-07;1.4910057e-06;2.9034393e-06;2.3429982e-06;1.9552065e-06;2.2629032e-05;6.107558e-07;1.4309347e-05;1.8658943e-06;6.194014e-07;3.6339736e-06;2.2115669e-06
