;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
youneed;9.370487e-07;8.137303e-07;9.852703e-07;3.0602942e-07;6.6845976e-05;5.092537e-07;7.9752266e-07;5.028237e-06;2.1075573e-06;9.818258e-07;1.3361459e-06;3.639398e-06;1.1392464e-06;4.6688665e-06;8.59481e-07;1.1943102e-06;8.5687884e-07;1.4521677e-05;1.3275117e-06
tellme;1.7897103e-06;1.0269126e-06;8.958369e-07;3.3945628e-06;1.0751627e-06;1.0439218e-06;9.242677e-07;1.2976456e-06;1.6132027e-06;2.4918954e-06;6.2070494e-06;0.00020085483;2.7464494e-06;5.71488e-06;2.284055e-05;1.6164087e-06;7.171101e-07;5.91054e-05;3.2314654e-06
radical;5.660261e-05;0.00011668806;7.2766043e-06;3.3226295e-06;1.053957e-06;4.7247568e-06;6.27752e-05;2.843399e-06;2.7312992e-06;0.00015741817;2.1192538e-05;2.9798298e-06;1.3470681e-06;7.206783e-05;8.383962e-06;5.02012e-05;6.818295e-05;1.1447243e-06;0.0002833862
considerably;4.278108e-06;2.5174663e-06;3.755767e-06;2.177436e-06;0.000113520524;1.1434402e-05;4.8052852e-06;4.6632563e-06;4.0871246e-06;2.111635e-05;0.00010857373;4.224869e-06;3.3096814e-05;5.8503014e-05;3.508867e-05;3.325922e-05;2.0551379e-05;8.838348e-05;4.0750483e-06
hasa;4.1640474e-06;1.4173258e-06;1.9222944e-06;5.711344e-07;4.251297e-06;1.1131168e-06;1.4396765e-05;1.1819919e-06;1.878285e-06;2.500296e-06;2.1235732e-05;2.6070495e-06;2.4707273e-05;1.1555495e-06;9.593517e-07;7.658135e-06;3.4548164e-05;4.064925e-05;2.016672e-06
single;0.00032175853;0.00018855676;0.0004608496;1.3914257e-05;0.00053611665;9.9702906e-05;0.00015859885;0.00043177805;0.0005186312;0.00024320351;0.0010384116;6.850377e-06;0.0005562722;0.0005160289;0.00059013726;0.000403208;0.0015701719;0.00065708125;0.00011015861
undergrad;1.7472931e-06;1.3145466e-06;9.33418e-07;2.3105283e-06;2.1580304e-06;6.333868e-07;8.7902697e-07;2.0497744e-06;2.9265923e-06;5.16236e-05;1.3789622e-06;0.00027951537;1.134344e-06;9.4901185e-07;1.2078243e-06;1.7366774e-06;9.176684e-07;2.9417391e-05;4.6275845e-06
austin;2.525679e-05;0.00019385728;9.277103e-06;4.751916e-05;8.960998e-06;3.225958e-05;2.4307892e-06;3.8078285e-06;2.2500624e-05;3.1085146e-05;3.1102284e-06;4.8447924e-05;8.6754226e-05;9.329935e-05;0.00017826066;2.4261155e-06;2.0696787e-06;0.00069990946;0.001765001
mane;1.0293498e-06;6.7692554e-07;1.2435257e-06;7.9003364e-08;6.478575e-07;1.8505666e-07;7.039375e-07;0.0006461128;7.5396724e-07;1.0782363e-06;7.5323464e-07;7.096316e-07;8.420528e-07;1.1071977e-06;8.050488e-07;9.958244e-07;9.5110425e-07;5.351948e-07;1.6252827e-06
majorityof;8.118121e-06;1.1968449e-05;1.5097071e-06;3.4996285e-07;7.954912e-07;7.7488806e-07;2.6342946e-06;1.5775984e-05;1.146586e-06;1.8027034e-05;1.4254337e-06;1.4708396e-06;1.2611823e-06;1.1010987e-06;9.4058987e-07;9.334898e-06;9.576553e-06;6.396451e-07;3.3670922e-06
wrapper;8.3794157e-07;1.6336005e-06;8.5712037e-07;2.2080555e-07;4.6448447e-05;6.483657e-07;7.4543163e-07;9.842853e-07;1.4535733e-06;1.033775e-06;1.3661801e-06;1.7495594e-06;8.664004e-07;4.6196947e-05;2.4102937e-05;2.1524274e-06;8.700143e-07;1.0750296e-06;1.1921661e-06
mist;1.3360394e-06;8.074794e-07;9.5186615e-06;2.1018096e-07;7.98233e-07;3.4954698e-07;1.3664358e-05;9.801141e-07;1.0768323e-06;9.5309593e-07;1.0738671e-05;1.3193275e-06;5.082325e-05;8.6167483e-07;8.775962e-07;1.3410804e-06;9.35002e-06;7.476519e-07;1.2176275e-06
swinge;9.4804005e-07;6.6771963e-07;1.0896715e-06;1.565374e-07;7.243043e-07;3.424231e-07;7.4009e-07;2.6786236e-06;9.688363e-07;9.1217447e-07;1.2920628e-06;2.0674206e-06;2.303003e-06;7.604558e-07;0.00012269536;1.2365998e-06;1.4695338e-05;7.026247e-07;1.6174724e-06
greatly;4.0887057e-06;3.0661163e-06;2.3326184e-06;8.752756e-05;0.00019273437;4.3736213e-06;2.3329234e-05;3.880542e-05;1.2134473e-05;3.9415163e-06;2.6094214e-05;0.0031867363;7.61075e-05;2.1807039e-06;2.116305e-06;0.0002583316;1.2101291e-05;0.0004017178;0.0004165766
adjustment;1.8171401e-06;1.1173363e-06;0.00012542283;7.983045e-07;9.257878e-05;5.755067e-06;1.1116214e-06;5.2950827e-06;1.8198766e-06;5.9320787e-06;1.3849839e-05;3.05314e-06;6.481735e-05;1.4348167e-06;0.0001203248;0.000103556675;7.0213623e-06;4.598932e-05;2.1268677e-06
opponent;3.2403463e-05;4.80455e-05;4.6133546e-06;1.5664738e-06;1.0483753e-06;2.5877114e-06;3.2480035e-05;3.260326e-05;1.9381966e-06;4.106751e-05;2.4103485e-06;2.185738e-06;1.1629752e-06;0.0001971566;0.00013115499;1.8410775e-06;0.00012727892;6.867405e-07;8.5384316e-05
withhis;6.6024564e-05;1.4128967e-06;1.5870133e-05;5.025676e-07;5.7033327e-07;1.0652059e-06;2.315942e-05;3.6770093e-06;7.2519737e-07;1.0180429e-06;1.0735713e-06;1.1614956e-06;8.1142935e-07;7.323771e-07;1.1461447e-06;1.1547568e-06;1.147404e-06;5.1733934e-07;1.857893e-06
renounce;9.826205e-06;0.00012496175;7.01393e-07;3.960096e-07;7.721953e-07;4.495482e-07;1.8232928e-05;9.5016856e-07;9.977961e-07;1.64221e-06;1.465549e-06;2.262982e-06;7.720946e-07;9.307069e-07;8.081781e-07;1.1171556e-06;1.4594799e-05;5.757578e-07;1.8282382e-06
standardized;7.422335e-07;7.791001e-07;9.043513e-07;1.8660678e-07;4.7766196e-05;4.5121556e-07;7.77792e-07;8.8752137e-07;7.1131085e-06;9.864539e-07;1.5236683e-06;2.513143e-06;3.15608e-06;1.4477715e-06;8.034082e-07;1.9123128e-05;8.344867e-07;5.3720114e-06;1.058097e-06
brush;3.6445643e-05;1.9064431e-05;2.7074102e-06;7.317408e-07;4.966247e-05;1.8534607e-06;2.1422404e-06;2.4124447e-05;2.2517827e-06;1.8800058e-06;1.6413934e-06;2.4818157e-06;1.2817665e-06;1.1000083e-06;1.0275737e-06;2.7876416e-05;2.3158842e-05;1.0183865e-06;3.1979473e-06
gregory;2.042964e-06;1.8969246e-06;1.3328442e-06;9.694458e-06;4.7059543e-06;7.942139e-07;4.6090172e-05;1.983648e-06;3.1847805e-05;1.4368047e-06;0.0001003949;0.001130514;1.9343358e-06;1.2096042e-06;1.7119095e-05;2.4940216e-06;1.3845602e-06;0.00018917976;7.913154e-06
