;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
youneed;1.0522233e-06;1.4070391e-06;3.8642182e-07;1.7300127e-06;1.3319548e-06;2.7403985e-06;7.3598363e-07;4.8098755e-06;6.5514955e-06;2.887078e-06;1.2693137e-06;5.026669e-06;8.552086e-06;4.1298674e-05;1.3253166e-06;3.7582302e-07;9.781654e-07;3.8522043e-07;1.0426699e-06;1.1646173e-06
tellme;1.340281e-06;1.7313926e-06;2.495173e-06;4.051131e-06;9.239556e-07;1.5518028e-05;1.0501268e-06;2.075536e-06;5.788516e-06;0.00011371153;1.5732622e-06;2.9919113e-06;6.743581e-05;1.2950856e-06;3.5427727e-06;2.5860022e-06;9.4086744e-07;2.5545246e-06;3.1020132e-05;1.4115919e-06
radical;3.3863912e-06;0.0001882934;4.3378823e-06;2.714535e-05;4.7923084e-05;7.391706e-06;3.8519305e-05;2.022314e-06;0.0001149666;1.984303e-06;8.251646e-05;5.351093e-06;1.8959784e-06;1.6574353e-06;1.961046e-06;3.9996407e-06;6.423346e-05;4.206705e-06;6.844814e-06;0.00017509007
considerably;4.1476255e-06;1.5135451e-05;3.4125405e-06;0.00012724468;2.3519651e-05;5.7171706e-06;2.807135e-06;7.879775e-06;5.5421908e-05;3.8827507e-06;3.0306717e-05;3.8891735e-06;0.00011787266;0.00011376637;2.2596692e-05;3.7080379e-06;5.5816686e-06;3.4846985e-06;3.3099703e-05;3.1285178e-06
hasa;2.4761266e-06;4.625226e-06;9.556164e-07;2.2258855e-05;6.6881585e-05;3.1408008e-06;1.512634e-06;7.661048e-06;1.5602596e-06;4.741981e-06;1.1545622e-05;1.4387173e-06;3.8314633e-05;3.4390578e-06;2.2302378e-05;1.0067364e-06;1.4138115e-05;9.590108e-07;1.3656538e-06;2.5459617e-06
single;0.000695328;0.00017272367;2.6559866e-05;0.0008853779;0.0011858979;7.978061e-06;1.9081765e-05;0.0006062532;0.00047438583;1.1544304e-05;0.0004336007;0.00039857323;0.0006114617;0.00058903894;0.00045075789;2.8026532e-05;0.00019280252;2.750855e-05;0.000630406;0.00016345971
undergrad;9.593392e-07;1.9932463e-06;6.7990885e-07;1.5131704e-06;1.5454733e-06;0.00037846598;7.141321e-07;9.465545e-06;8.1745867e-07;1.3263256e-05;1.5861156e-06;2.247448e-05;6.2530157e-06;1.107135e-06;1.4189137e-06;6.545444e-07;9.748919e-07;6.943331e-07;1.1749746e-06;1.0819264e-06
austin;4.157423e-06;7.2290804e-06;0.0005434312;3.743294e-06;2.1878009e-06;1.6240305e-05;0.00017488115;1.0022261e-05;7.9975696e-05;0.0002323058;3.1466925e-06;2.610174e-06;0.00080803747;7.6225083e-06;7.413298e-05;0.0005397891;3.7855389e-06;0.0005554263;0.00023985512;0.00018317696
mane;1.0491271e-06;1.48759e-06;2.9398376e-07;9.644889e-07;1.1849634e-06;2.0435027e-06;1.0506967e-06;4.8388705e-07;1.1014081e-06;5.737789e-07;6.6384064e-07;0.0005438379;7.481657e-07;2.4011365e-07;8.6835195e-07;2.7582522e-07;5.767792e-07;2.880041e-07;9.2034503e-07;1.1039643e-06
majorityof;1.9589809e-06;1.1238946e-05;7.438665e-07;1.724108e-06;2.0786674e-05;5.7346883e-06;3.0675346e-06;1.1478115e-06;1.6059433e-06;1.8733633e-06;1.0676906e-05;2.9139444e-05;1.1750839e-06;8.798208e-07;1.7002301e-06;6.798491e-07;3.7602588e-06;7.105846e-07;1.4878973e-06;1.887273e-05
wrapper;1.0095315e-06;1.3822413e-06;5.157155e-07;1.6866926e-06;1.2512307e-06;1.6947164e-06;9.102245e-07;2.2457891e-06;7.5105105e-05;1.7692234e-06;2.3970906e-06;1.0384693e-06;1.7036626e-06;4.5622834e-05;1.4572465e-06;5.0734104e-07;9.024113e-07;5.221943e-07;2.1438935e-05;2.5854483e-06
mist;3.3927805e-05;1.2624109e-06;5.817693e-07;9.621668e-06;1.2931079e-06;1.7156598e-06;8.9074416e-07;6.844875e-07;9.832901e-07;1.3648402e-06;1.5604771e-06;9.561355e-07;1.1364815e-06;9.0666265e-07;4.1478877e-05;5.8491406e-07;9.700883e-06;5.73875e-07;1.1154691e-06;9.224363e-07
swinge;1.7488378e-06;1.6337996e-06;4.4604738e-07;1.298368e-06;1.954146e-05;2.7878386e-06;9.251812e-07;8.0854187e-07;9.908425e-07;1.1387746e-06;1.4302383e-06;4.672268e-06;9.373269e-07;7.255604e-07;1.6268547e-06;4.2120502e-07;8.16719e-07;4.331815e-07;0.00011152496;1.0694307e-06
greatly;2.8297056e-06;3.1710022e-06;1.9089422e-05;3.237201e-05;3.6124336e-06;0.00020803633;2.4055344e-06;1.28815045e-05;9.2267663e-07;0.0035400505;0.0003965473;1.4370011e-05;0.00025848433;0.00017627212;3.482086e-05;2.0887124e-05;1.480392e-05;1.8597026e-05;1.911409e-06;5.4274574e-06
adjustment;3.0831384e-06;7.596667e-05;1.2769865e-06;1.110069e-05;6.8308595e-06;2.7007854e-06;1.6220071e-06;3.4492966e-06;1.7645121e-06;2.8445793e-06;6.906094e-05;5.957911e-06;4.9719758e-05;6.4009946e-05;4.9353548e-05;1.3278152e-06;1.0566156e-06;1.283675e-06;8.569042e-05;1.7193291e-06
opponent;2.4735114e-06;5.697637e-05;1.4583686e-06;2.4601034e-06;0.000111163936;4.14916e-06;7.5601483e-06;1.6515235e-06;0.00020574579;1.2637885e-06;2.066244e-06;4.1262105e-05;1.1381128e-06;1.2585315e-06;1.3414366e-06;1.2669485e-06;3.2496693e-05;1.4074192e-06;0.00015287082;5.3598513e-05
withhis;3.248486e-05;1.1342228e-06;4.6717508e-07;1.2562738e-06;1.2855445e-06;1.7621691e-06;1.3280785e-06;5.352852e-07;8.0569055e-07;1.4334579e-06;1.3365748e-06;2.0517796e-06;9.931389e-07;7.5525253e-07;1.1207171e-06;4.2537133e-07;3.4889723e-05;4.554829e-07;1.326087e-06;1.1975137e-06
