;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
youneed;2.4582002e-06;5.330559e-05;1.2998033e-06;4.837881e-06;1.4888699e-06;1.6133528e-05;3.5523644e-07;6.764336e-07;3.5631065e-06;9.630566e-07;5.7935554e-06;3.919334e-07;3.34292e-07;1.4757397e-06;1.5612777e-06;8.589103e-07;3.4013324e-06;8.182227e-07;1.0542311e-06;1.3847922e-06;1.1981563e-06
tellme;7.7698305e-06;1.339956e-06;3.050371e-06;1.2885215e-06;9.002133e-06;4.977815e-05;1.3734817e-06;6.402671e-07;1.9798583e-06;9.838313e-07;8.311074e-06;1.6814852e-06;1.3294002e-06;1.5737403e-06;2.8201853e-06;1.2567227e-06;0.00016214376;8.517628e-07;1.3168141e-06;2.7064036e-06;2.839631e-05
radical;2.7953815e-06;1.2126814e-06;2.4756324e-05;5.6317485e-06;0.00021607635;1.8510185e-06;4.7294307e-06;8.183657e-06;2.7321785e-06;7.151132e-05;0.00012173138;4.3547616e-06;3.9354322e-06;4.483866e-05;0.00018858215;9.929149e-06;1.3939937e-06;9.717817e-05;6.9783135e-05;1.4474183e-06;8.929234e-06
considerably;2.6342802e-06;0.00011511192;0.000109966684;2.5607403e-06;2.0759091e-05;0.00010971751;6.5070994e-06;0.0001343431;7.786221e-06;1.9785748e-05;6.1618375e-05;6.2919553e-06;6.1229093e-06;3.1486667e-05;3.1259535e-06;4.132729e-06;4.1295775e-06;5.7766347e-06;3.582904e-06;2.3166536e-05;2.8724777e-05
hasa;2.6049784e-06;3.3976544e-06;2.0575255e-05;1.4387375e-06;2.2545162e-06;4.032782e-05;1.173001e-06;1.6396091e-06;6.8790796e-06;4.632785e-05;1.2498633e-06;1.2289239e-06;1.1103637e-06;1.2690633e-05;7.799297e-06;2.0836806e-06;7.893379e-06;2.0354088e-05;2.132347e-06;2.5636757e-05;1.3931394e-06
single;2.4906662e-05;0.00056313176;0.00091161724;0.0002359958;0.00024659038;0.0006862997;3.177283e-05;0.00013669106;0.0007154401;0.0013509202;0.00045509692;2.833953e-05;2.8038137e-05;0.000403716;0.0005408496;0.00035163775;9.025945e-06;0.00020848885;0.00014989405;0.00047750602;0.00059397664
undergrad;0.00052463415;2.0761067e-06;1.5057994e-06;1.9617125e-06;3.289228e-05;2.7883802e-05;8.377562e-07;4.73587e-07;7.874368e-06;1.2853699e-06;1.082928e-06;9.746598e-07;7.8804334e-07;1.7989502e-06;4.757309e-06;9.1238115e-07;1.8558483e-05;1.0516634e-06;1.3720371e-06;1.3345247e-06;1.5553752e-06
austin;7.5961643e-06;9.650583e-06;3.0657843e-06;3.1027362e-06;1.1187695e-05;0.0008469326;0.00030490357;3.4556346e-05;2.2262493e-05;2.2476331e-06;9.5624804e-05;0.00035051265;0.00029733145;5.0480285e-06;0.00057331234;4.0065906e-06;9.15972e-05;2.8507757e-06;0.00015793346;8.204357e-05;0.00023756403
mane;1.6304211e-06;4.3195712e-07;6.1624445e-07;5.7980043e-05;0.0004744393;4.2727135e-07;1.02889e-07;3.2485895e-07;6.8144664e-07;7.2206e-07;9.4586164e-07;1.1256764e-07;9.0092996e-08;1.2211e-06;2.1396522e-06;7.5362203e-07;4.5957944e-07;5.536567e-07;7.6664105e-07;5.858347e-07;1.0070021e-06
majorityof;2.539451e-06;8.746235e-07;1.5827125e-06;9.695094e-06;3.8794406e-05;9.699046e-07;6.6926924e-07;1.082283e-06;1.3325292e-06;1.6719407e-05;1.3091487e-06;6.9518876e-07;5.9959183e-07;7.4142117e-06;1.0468626e-05;1.9533568e-06;1.4751055e-06;2.576503e-06;8.948884e-06;1.4478131e-06;1.1213326e-06
wrapper;1.7663386e-06;6.156199e-05;1.3209486e-06;1.0527734e-06;1.3771123e-06;1.5283879e-06;4.9176725e-07;1.2815526e-06;2.1834906e-06;9.868694e-07;7.12661e-05;5.276435e-07;4.512854e-07;2.4470362e-06;1.2340021e-06;1.0593662e-06;2.035133e-06;8.8198107e-07;2.1173535e-06;1.256521e-06;2.0415775e-05
mist;1.3944641e-06;8.491998e-07;8.714878e-06;1.1669644e-06;1.3336678e-06;9.4706905e-07;3.2959224e-07;5.481569e-07;1.1548169e-06;7.728712e-06;8.9191764e-07;3.3977315e-07;3.048135e-07;1.7035806e-06;1.1957952e-06;1.2994509e-05;1.2191709e-06;1.0435802e-05;1.2136059e-06;5.158619e-05;1.2606567e-06
