;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
youneed;1.3635619e-06;1.2464957e-06;6.552763e-07;1.055018e-06;3.6891652e-07;1.0686624e-06;2.4243889e-06;6.6872362e-06;8.7717336e-07;1.2416991e-06;6.145037e-05;3.730409e-07;9.225326e-07;3.9868357e-07;1.021264e-06;8.728828e-07;1.109502e-06;1.1542763e-05;8.884317e-07;5.004188e-06;5.3342774e-06;1.2839713e-06
tellme;1.4175009e-05;3.775983e-05;1.0089651e-06;1.2503332e-06;9.848231e-07;1.6905512e-06;0.00011375438;8.179559e-06;1.1825324e-06;2.8138295e-06;1.2760984e-06;1.2846913e-06;1.138549e-06;3.2268972e-06;2.6464775e-06;1.0764201e-06;9.844006e-07;4.5753284e-05;1.4633953e-06;1.3499632e-06;1.3675299e-06;5.7398743e-06
radical;0.00024275675;7.940831e-06;3.7849888e-06;1.9253017e-05;4.7420103e-06;4.1126925e-05;1.6462394e-06;0.000112069894;1.9506113e-05;5.7968253e-05;1.2650115e-06;3.5007024e-06;0.00012144552;1.6541784e-06;1.5646431e-06;9.027659e-05;8.1471764e-05;1.2759e-06;5.669781e-05;1.3775384e-06;4.4237686e-06;4.0621708e-05
considerably;2.271886e-05;3.822348e-05;2.0673992e-06;2.6177422e-06;5.931613e-06;5.0949398e-06;3.4218754e-06;5.538566e-05;7.168883e-06;2.7696503e-06;0.000110968154;5.9506096e-06;2.8724885e-06;4.038121e-06;2.4389496e-05;5.1514387e-05;5.7634197e-06;0.00012269894;2.8026607e-05;4.690771e-06;6.2288354e-06;0.000116268166
hasa;3.490808e-06;1.5911239e-06;2.4798217e-06;1.742902e-05;6.592988e-07;2.379868e-06;2.0695231e-06;1.4117646e-06;1.0849158e-06;2.8194272e-06;2.571337e-06;6.213072e-07;2.071419e-06;7.270306e-07;2.2194798e-05;6.586466e-05;1.4716468e-05;4.738566e-05;1.2385746e-05;1.3011599e-05;1.3578546e-06;2.123533e-05
single;0.0003040722;0.00064598536;0.00046459562;0.002686727;4.2556636e-05;0.00016843957;5.6300123e-06;0.000543878;2.447582e-05;0.00024501697;0.00054524787;4.1219588e-05;0.00018840289;1.32354135e-05;0.00051470863;0.00013193105;0.00023206157;0.000780067;0.00041152348;0.00064143626;0.00035077773;0.0010120854
undergrad;2.1941245e-05;1.6058375e-06;1.1845565e-06;1.6630275e-06;6.580726e-07;1.9494196e-06;0.0004844662;1.5316743e-06;1.0753924e-06;9.544069e-06;2.5517795e-06;8.576779e-07;1.5463827e-06;2.3090931e-06;1.6241096e-06;1.4930026e-06;1.3266773e-06;4.112427e-05;2.1134317e-06;2.3933006e-05;4.026879e-05;1.5756018e-06
austin;3.8429516e-06;0.00035176688;1.4309788e-05;1.6145108e-06;0.00037943575;0.00012252342;4.1439715e-05;8.9901434e-05;0.00022487677;8.565166e-06;7.8716685e-06;0.0005216385;0.00021564987;0.0013312089;5.5830984e-05;8.7598255e-06;4.1500975e-06;0.0006914231;3.1568054e-06;1.8522236e-05;4.74957e-06;5.466559e-06
mane;2.2647678e-06;9.450167e-07;8.401734e-07;1.0761424e-06;1.2813726e-07;1.0049663e-06;1.0713541e-06;9.5310656e-07;4.2868942e-07;1.1012885e-06;5.269436e-07;1.2769331e-07;7.3865135e-07;1.1616237e-07;5.7899143e-07;8.2974253e-07;1.02344e-06;6.76296e-07;1.5963324e-06;5.032926e-07;0.00047340748;7.1611464e-07
majorityof;4.5618668e-05;1.4490664e-06;2.3513571e-06;1.224833e-05;5.084425e-07;2.5203794e-06;1.7002649e-06;1.4054615e-06;2.4806939e-06;2.0083937e-05;6.553499e-07;4.1474277e-07;8.462491e-06;2.959537e-07;1.5000717e-06;1.1823324e-05;2.7954636e-06;8.4780345e-07;7.203569e-06;9.308606e-07;7.1404284e-06;2.0117307e-06
wrapper;1.2811176e-06;1.8755523e-05;5.917287e-07;9.950868e-07;6.5598664e-07;1.3077839e-06;1.9844679e-06;7.833091e-05;1.420817e-06;1.0981537e-06;6.411845e-05;6.279587e-07;2.9562077e-06;6.185771e-07;1.064719e-06;1.0442717e-06;1.1688787e-06;1.3316749e-06;1.8575953e-06;1.9709946e-06;1.0188169e-06;1.665844e-06
mist;1.3347509e-06;1.226795e-06;3.7341806e-06;3.3882967e-05;2.5626045e-07;1.0977947e-06;1.0236317e-06;8.99377e-07;5.2568976e-07;1.2558185e-06;6.526493e-07;2.487786e-07;1.1095535e-06;3.1383647e-07;3.984387e-05;1.3562735e-06;1.0067153e-05;8.12225e-07;9.3803266e-07;9.760797e-07;1.0085234e-06;1.0614485e-05
swinge;1.1912757e-06;7.696338e-05;2.4178646e-06;3.3384156e-05;1.9568826e-07;9.485159e-07;1.3420182e-06;8.990314e-07;4.4251055e-07;9.726783e-07;5.457849e-07;1.8863462e-07;8.2912607e-07;2.633881e-07;1.0387383e-06;1.0849029e-06;1.000286e-06;6.597457e-07;1.0509586e-06;7.909315e-07;5.7077164e-06;1.6895232e-06
greatly;5.475279e-06;3.2373569e-06;2.519899e-06;3.9821966e-06;8.306795e-06;3.7497432e-06;0.00322908;2.979576e-06;2.185675e-06;0.0003366846;0.0002640883;1.33131325e-05;6.5321974e-06;8.2115104e-05;8.68079e-05;2.544164e-05;2.171555e-05;0.000523359;0.00035202337;6.2133795e-06;6.0466387e-05;3.4848963e-05
adjustment;7.884048e-06;0.00010553057;5.1080274e-06;1.1104596e-05;1.9258837e-06;0.00017957593;2.3360835e-06;1.9801878e-06;1.8640307e-06;1.6872586e-06;8.408438e-05;2.0333118e-06;1.5398427e-06;1.300764e-06;4.5666522e-05;1.8549114e-06;1.4691956e-06;5.512858e-05;8.214887e-05;3.7110206e-06;7.1365507e-06;1.3646723e-05
opponent;6.116072e-05;0.00016854018;5.353693e-06;0.00011815152;1.7203143e-06;4.368759e-05;3.334314e-06;0.00025792298;4.415155e-06;6.178249e-06;1.2200713e-06;1.3666431e-06;5.0446593e-05;9.43025e-07;9.58754e-07;0.00011170498;4.0850475e-05;8.61189e-07;2.525454e-06;1.7666331e-06;4.4654353e-05;4.159107e-06
withhis;1.0953269e-06;2.127438e-06;2.780791e-05;3.2081782e-06;7.420101e-07;1.416577e-06;1.4551543e-06;8.0922666e-07;2.3390396e-06;1.3479699e-06;5.656295e-07;6.7153513e-07;1.186423e-06;6.79527e-07;1.223304e-06;1.2516259e-06;4.5195517e-05;7.894066e-07;1.1342026e-06;5.994363e-07;3.1577567e-06;8.719334e-07
renounce;2.21567e-06;1.3565998e-06;1.7816674e-06;2.6578477e-05;3.8749346e-07;1.5700383e-06;2.3904515e-06;1.4300866e-06;1.497665e-06;2.109532e-06;7.111199e-07;2.9414994e-07;0.00012220103;3.4338402e-07;8.9722135e-07;5.5146353e-05;2.8731924e-05;7.8556e-07;1.2724098e-06;8.9260396e-07;1.3893593e-06;1.4864331e-06
standardized;1.3572993e-06;1.3194616e-06;6.660107e-07;9.423575e-07;3.0220443e-07;1.1493363e-06;2.0160821e-06;1.6369901e-06;7.963397e-07;1.2818616e-06;3.4267938e-05;2.9374627e-07;1.0390896e-06;3.0497867e-07;2.9061573e-06;8.0434296e-07;1.0007526e-06;4.3870755e-06;9.200755e-06;3.3255903e-05;8.4379394e-07;1.6171942e-06
brush;2.5030326e-06;1.9895897e-06;7.0259903e-06;3.350705e-05;7.3126813e-07;2.6058467e-06;5.407952e-06;1.6797657e-06;2.0859873e-06;2.4085157e-06;5.7721936e-06;6.036889e-07;2.9046334e-05;5.208857e-07;1.5790803e-06;2.9040182e-05;3.869176e-06;1.6088883e-06;2.9238072e-05;7.689765e-05;3.363175e-05;1.9973854e-06
gregory;2.2767063e-06;1.0880644e-05;1.4302726e-06;2.9156108e-06;1.3064305e-06;1.9338968e-06;0.00094717747;1.3043546e-06;8.3079595e-07;0.00038422234;2.3106738e-06;2.0830296e-06;2.9708744e-06;1.9860205e-05;2.624553e-06;2.0712005e-06;4.2834698e-05;0.00013556483;3.0467727e-06;5.486236e-05;2.336182e-06;3.0185376e-05
steam;1.5148989e-06;7.062435e-06;1.8269354e-06;1.046206e-06;1.2755088e-06;1.4507484e-06;2.0152515e-06;1.1669823e-06;1.9868899e-06;1.7922481e-06;8.835677e-07;1.3556316e-06;4.678832e-06;1.2709567e-06;0.00042762115;9.679567e-07;1.0543898e-06;1.3030168e-06;3.3338598e-05;1.0513554e-06;1.0453095e-06;3.1804564e-05
badly;1.4092752e-05;0.00010391949;0.00032569177;9.1240356e-05;1.9552457e-05;4.7625672e-05;1.6311493e-06;0.00010895807;2.7348804e-05;2.8921434e-06;4.2866064e-05;1.8648694e-05;2.2871213e-06;7.0357473e-06;2.2988195e-05;4.635607e-06;1.2850489e-05;3.4738334e-06;2.5884938e-06;1.8562527e-06;0.00022326861;6.8230365e-05
david;0.00095261174;0.0019599027;0.0007205824;0.0012533442;0.00039191794;0.00047433804;0.0063248463;0.003193191;4.5963774e-05;0.00013294234;0.0004356246;0.00067506585;0.00055132696;0.0027518366;0.0005889315;0.00017463937;0.0013010197;0.00085837004;0.0022366645;0.0010012473;0.0028897854;0.0005503754
lourde;1.3285053e-06;1.2673538e-06;1.3139246e-06;1.3081916e-06;3.1197172e-07;1.09236e-06;1.0206372e-06;9.471227e-07;1.1048525e-06;1.3885802e-06;6.059603e-07;2.7041412e-07;1.2782483e-06;3.6297817e-07;7.92921e-07;2.007128e-06;0.00010928062;7.7631466e-07;1.9803412e-05;6.4115636e-07;9.2449216e-07;9.209777e-07
connecticut;6.374351e-05;3.5914502e-06;4.2218444e-06;8.890941e-05;3.50694e-07;2.5124997e-05;1.7470896e-06;2.713675e-06;9.669367e-07;1.651627e-06;7.845704e-07;3.1871141e-07;1.3121476e-06;2.1912598e-07;2.0049694e-05;2.0201055e-06;1.2781159e-06;9.324594e-07;1.4580746e-05;7.7973045e-06;1.6979885e-06;8.1651315e-06
energia;1.1385165e-06;1.5496802e-06;4.361615e-07;1.174594e-06;1.6506192e-07;1.0627454e-06;9.944464e-07;9.285168e-07;3.7586017e-07;1.1694568e-06;8.223458e-07;1.7771015e-07;8.419508e-07;2.476217e-07;1.249887e-06;7.7486027e-07;7.625671e-07;7.03766e-07;1.0793159e-06;7.914386e-07;8.3267685e-07;0.00019042254
middle;0.00019173985;0.00032938048;0.0004037331;0.0007970369;0.00014755382;0.00033173556;5.2175274e-06;6.8169335e-05;0.00014497814;0.0001233043;4.27032e-05;0.0001358499;0.00018083736;8.448587e-05;0.00023157129;0.0008846373;0.00016539749;8.312676e-05;8.2785e-06;5.299697e-06;5.9407008e-05;4.3278385e-05
asic;1.1872902e-06;1.1225798e-06;6.170416e-07;8.736469e-07;3.6475936e-07;9.574934e-07;1.792248e-06;7.695193e-05;7.8900854e-07;1.1577816e-06;1.1423947e-06;3.8121195e-07;8.07453e-07;4.7181274e-07;9.3866544e-07;8.119923e-07;9.1287086e-07;5.0997463e-05;9.3510215e-07;7.828748e-07;9.448936e-07;1.0589245e-06
tokyo;2.2683278e-06;9.775426e-06;1.1735182e-06;1.5336141e-06;3.345618e-07;0.00013229942;4.088771e-06;1.5477603e-06;7.39296e-07;1.2686842e-06;5.1645775e-06;3.5304996e-07;9.788209e-07;4.0023443e-07;1.2318771e-06;1.0902049e-06;1.0008472e-06;1.5197054e-06;1.5384769e-06;0.00022676076;1.0850536e-06;1.3109728e-05
testimony;8.5290885e-05;3.1029285e-06;0.000111777365;1.7511617e-05;2.0058076e-06;1.7489447e-05;1.3822686e-06;1.1269618e-06;1.020302e-05;4.110243e-05;7.956573e-07;1.4771795e-06;0.0001320934;5.8541025e-07;1.7065935e-06;8.204975e-05;0.00023784826;9.4094753e-07;5.9287527e-06;7.7301274e-07;0.00013488118;1.8347769e-06
matter;0.00041785362;0.00040575807;0.00051755813;0.00015575823;0.00067112525;0.00040155934;3.3635015e-06;0.00057477574;0.00092567294;0.00017566429;8.2201725e-05;0.0005177568;0.002290991;0.000120026205;0.00038793156;0.000724588;0.000891831;6.856346e-05;0.00031361397;1.2057189e-05;0.000859465;0.00072571303
telecommunication;3.0311576e-06;1.6251215e-06;5.937252e-07;1.6926142e-06;4.0578263e-07;1.863114e-06;3.4562138e-06;0.00040615187;7.1481804e-07;1.4930773e-06;6.0659027e-06;4.461259e-07;9.472231e-07;5.112549e-07;1.815672e-06;9.979223e-07;1.0069735e-06;1.0892887e-06;1.4381858e-06;1.0057831e-05;1.0353407e-06;0.00016353806
idle;2.0239445e-06;0.00040214896;2.0735283e-06;1.589221e-06;5.6010954e-06;2.250948e-06;2.42732e-06;8.8707864e-05;4.8481097e-06;2.156035e-06;0.0002151456;6.1443106e-06;4.0310882e-05;6.2349263e-06;0.00036140392;2.3713255e-06;7.851624e-05;5.229152e-05;2.1384808e-06;2.4090887e-06;2.1724272e-06;3.864253e-06
diving;1.5603584e-05;1.6334943e-05;1.1918848e-06;3.1792435e-06;4.4350696e-07;4.8554216e-06;1.3724865e-06;1.302439e-06;1.3131764e-06;1.4939832e-06;1.0481824e-06;4.2886737e-07;1.1959745e-06;4.0226635e-07;1.3434046e-06;3.5109078e-06;1.0851346e-06;7.7793106e-07;1.6404434e-06;5.0403614e-06;1.2930989e-06;7.5131575e-05
timmon;9.865668e-07;1.1790605e-06;4.479874e-07;8.1596096e-07;2.996308e-07;7.373971e-07;1.3874378e-06;8.1301164e-07;1.4005539e-06;1.1872083e-06;6.4194535e-07;2.5657928e-07;0.000296188;2.715904e-07;8.825955e-07;1.353857e-06;1.4122123e-06;7.9486546e-07;1.0219167e-06;6.216541e-07;9.006286e-07;1.012329e-06
province;0.00021949343;1.4644874e-06;5.5555834e-06;0.0004635574;1.7955566e-07;1.9948684e-06;1.7795085e-06;1.1834056e-06;6.4078074e-07;1.628709e-06;3.6288736e-07;1.5606103e-07;1.117999e-06;1.0368908e-07;3.8825707e-05;2.0967086e-06;1.1000744e-06;7.133504e-07;3.5073338e-06;1.6116257e-06;1.8618208e-06;5.1695756e-06
oscar;8.256952e-06;0.00021507026;1.496586e-06;1.8246313e-06;8.256142e-07;2.0624896e-06;6.005504e-06;1.290472e-06;1.2885145e-06;1.6383068e-06;1.472768e-06;9.396054e-07;1.4385445e-06;1.4333834e-06;1.8498346e-06;1.3167851e-06;2.5237116e-06;8.118695e-06;1.6764459e-06;2.2858485e-06;1.387397e-06;2.6727539e-05
lehigh;5.475592e-06;7.468846e-05;4.209831e-06;6.5442405e-06;2.2672186e-06;2.101829e-06;0.00059129245;1.4344097e-06;1.092492e-06;2.3395216e-06;1.0941083e-06;3.423162e-06;1.6370639e-06;1.0822259e-05;0.00034734106;1.315905e-06;1.1072738e-06;6.411329e-05;0.0001410274;1.8589791e-06;7.79895e-06;4.5431652e-06
impress;2.3805628e-06;3.1345822e-05;5.1828297e-06;1.8655672e-06;3.0263272e-05;2.8087788e-06;2.0061338e-05;1.9437978e-06;5.2069332e-05;3.6227411e-06;1.1383926e-05;3.1891755e-05;2.236354e-05;4.174054e-05;3.023785e-05;3.5694768e-06;2.2706915e-06;7.972098e-05;1.8321382e-05;8.767711e-06;5.8428536e-06;2.2060979e-06
champ;9.0148376e-07;0.00030134537;7.6428734e-07;8.040511e-07;3.1873307e-07;8.110371e-07;1.865231e-06;7.0192203e-07;6.508461e-07;8.4622275e-07;7.6713144e-07;3.368338e-07;7.4376834e-07;5.472205e-07;7.608434e-07;6.8456274e-07;8.232909e-07;5.682064e-06;9.252327e-07;6.7453794e-07;8.037445e-07;1.1030031e-06
theserial;1.0468729e-06;9.919854e-07;4.8635155e-07;8.1724363e-07;2.4188e-07;7.908386e-07;1.5341434e-06;6.0277525e-05;6.3060816e-07;9.466054e-07;8.161346e-07;2.436457e-07;6.6332547e-07;2.9867738e-07;7.20135e-07;7.125499e-07;7.919626e-07;1.0282194e-05;8.285771e-07;6.2656926e-07;7.4985775e-07;9.383036e-07
