;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
youneed;4.766681e-06;4.6799062e-07;2.2465622e-06;4.8507947e-05;1.3501148e-05;2.1040273e-06;4.2493375e-07;8.284497e-06;9.886814e-07;4.6129782e-07;3.8780404e-06;1.1754558e-06;1.3564662e-06;9.0537645e-07;8.198154e-07;9.915825e-07;1.1039164e-06;1.3869773e-06;5.02614e-07;1.20264e-06;4.5023026e-07;4.0300565e-06;1.046852e-06
tellme;1.6523792e-06;7.917216e-07;1.0347263e-05;1.1094571e-06;5.3839292e-05;0.0001356924;8.7534414e-07;7.4009313e-06;1.0994556e-06;7.54512e-07;1.0630046e-06;8.347958e-07;1.5768437e-06;7.6030426e-07;7.2179193e-07;2.3913919e-05;1.5705789e-06;2.2564989e-06;8.2877705e-07;2.731106e-06;8.820168e-07;1.4032094e-06;4.929925e-06
radical;2.3160046e-06;4.461411e-06;2.0738523e-06;1.2397172e-06;1.3435308e-06;1.2335084e-06;3.9596416e-06;0.000111177986;0.00016802599;4.2751153e-06;3.1749169e-06;4.698827e-05;6.046632e-06;0.00010318575;0.0001039324;8.446142e-06;0.00010106875;2.048356e-06;4.5222105e-06;5.8034977e-05;3.5641815e-06;2.993716e-06;0.00014481485
considerably;4.2700913e-06;6.1044843e-06;2.3562932e-06;8.589015e-05;0.000111954825;3.268916e-06;5.5217083e-06;5.3562624e-05;4.1407e-06;6.3871e-06;2.066677e-06;1.8518838e-05;3.2220448e-06;2.29329e-06;2.2657082e-06;3.347029e-05;2.8026729e-05;2.2539665e-05;6.2381273e-06;9.1391914e-05;5.5807895e-06;0.00020480357;1.8972365e-05
hasa;8.528458e-06;1.7812088e-06;1.9912247e-06;2.7888636e-06;3.7481666e-05;7.4267305e-06;1.6643144e-06;1.5382814e-06;3.7521302e-06;1.8424622e-06;1.7066379e-06;5.263169e-05;4.570435e-06;1.9229765e-06;1.1432002e-05;1.1348911e-06;1.0729152e-05;2.8457585e-05;1.8834199e-06;1.845744e-05;1.7398535e-06;4.060538e-06;1.8740649e-06
single;0.0008638084;3.609806e-05;2.0619449e-05;0.00071011286;0.00085821346;9.215729e-06;3.2486852e-05;0.00046714413;0.00016022292;3.4209126e-05;0.00035074542;0.0014297974;0.0006340122;0.00021312427;0.0002087967;0.00065570243;0.00021291619;0.00043396588;3.625915e-05;0.00065086345;3.5091434e-05;0.0005262625;0.00034778178
undergrad;1.3971579e-05;6.6027405e-07;0.00021023827;1.8317655e-06;7.664671e-06;5.2112515e-05;7.054197e-07;1.0239271e-06;1.8295509e-06;6.4544463e-07;1.5677876e-06;1.5021653e-06;6.1632076e-05;1.0430414e-06;1.0469162e-06;1.0489332e-06;1.2127017e-06;1.4188222e-06;7.072442e-07;1.2918449e-06;7.510893e-07;1.4823205e-06;6.7354245e-05
austin;2.2362532e-05;9.432368e-05;4.594299e-06;5.0755934e-06;0.00075985875;3.441854e-05;0.00010071547;9.9129524e-05;4.456927e-05;7.973683e-05;3.0399776e-06;1.9875781e-06;0.00085269636;0.00014066209;2.2894574e-06;0.00018820763;0.000119170974;8.2762686e-05;9.1913236e-05;2.1980934e-06;9.956307e-05;4.7566034e-05;4.666912e-06
mane;1.2346843e-06;2.7060585e-07;9.622462e-07;6.3575595e-07;6.235712e-07;9.386194e-07;2.3966274e-07;1.237831e-06;2.0339e-06;3.1646718e-07;1.7697282e-06;1.4828081e-06;1.5401164e-06;1.2156409e-06;8.0256456e-07;1.0000489e-06;1.4409377e-06;1.3342985e-06;3.0477813e-07;1.1427901e-06;2.594918e-07;8.765213e-07;0.0008132109
majorityof;1.28559e-06;7.7707426e-07;1.6962001e-06;9.0277746e-07;7.9609845e-07;1.1342834e-06;6.9866564e-07;1.2679566e-06;2.2625316e-06;8.142844e-07;1.5741264e-06;1.2545289e-05;3.548044e-06;9.398184e-06;3.5167086e-06;1.2019577e-06;2.2349436e-06;1.6025743e-06;8.5020645e-07;3.2732542e-06;7.264813e-07;1.6459322e-06;5.3396074e-05
