;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
youneed;1.3522929e-06;1.0641792e-06;6.620075e-07;1.1032942e-06;7.439268e-06;3.8731255e-07;5.9204262e-06;2.1145797e-06;2.868146e-06;4.2366503e-07;1.2996505e-05;9.720117e-07;1.6572866e-06;4.1561103e-07;8.87879e-07;1.1288859e-06;7.4152234e-07;2.4367873e-05;2.1146282e-06;1.16674e-06;1.3235513e-06;3.600607e-05;1.410353e-06;3.8713796e-07
tellme;2.3644288e-06;1.2864798e-06;8.310691e-07;2.1431958e-06;1.0260884e-06;5.156163e-07;4.280405e-06;1.2916142e-05;1.71281e-06;5.5683347e-07;5.4562046e-05;1.160882e-06;2.3150806e-06;8.1839255e-07;8.643898e-07;2.5852645e-05;3.8489325e-06;1.4078419e-06;9.700517e-05;1.3034545e-06;5.1337843e-06;1.0242526e-06;3.55345e-06;5.5522685e-07
radical;1.8043585e-06;9.868473e-06;7.8923855e-05;4.2125586e-05;4.1140174e-06;5.7288353e-06;0.000116353694;2.6299358e-06;2.5388226e-06;6.6937214e-06;1.3195323e-06;6.306495e-05;0.00011192485;3.7899872e-06;0.00018091532;8.280353e-06;2.289755e-06;1.4079841e-06;1.3280566e-06;4.2227375e-06;0.00015641152;1.9643653e-06;5.6730194e-05;6.6489456e-06
considerably;7.1220575e-06;0.00018633703;2.9654436e-06;7.0638403e-06;1.4704361e-06;5.057782e-06;3.817691e-05;3.912551e-06;4.8458833e-06;5.1622173e-06;5.2384457e-05;1.51219465e-05;3.5279895e-06;8.041259e-06;2.8263087e-06;3.604415e-05;5.1548286e-06;9.770593e-05;2.9204307e-06;2.7644837e-06;1.7111392e-05;8.33758e-05;6.807824e-05;5.1410193e-06
hasa;2.3505841e-05;4.8643e-06;1.2165874e-05;2.41952e-06;1.1165321e-06;1.0312174e-06;1.2757138e-06;2.1756387e-06;4.409806e-06;1.1164292e-06;6.21183e-05;3.9804258e-05;2.5328386e-06;1.2311448e-06;1.6856054e-06;1.7041946e-06;1.7752826e-06;2.5542852e-06;2.8404756e-06;2.176822e-06;3.144929e-06;7.832152e-06;2.707041e-05;1.0337541e-06
single;0.00032693363;0.00089685037;0.00022029522;0.00015189014;0.0003251028;5.574749e-05;0.00048249646;1.0600597e-05;0.00084116403;5.2700358e-05;0.001042954;0.0012689544;3.2645316e-05;7.6938006e-05;0.00018512958;0.00073391385;1.8046054e-05;0.00058084726;7.4632726e-06;0.00046263027;0.00028647302;0.0007982405;0.00078424264;5.2243373e-05
undergrad;1.4448942e-06;9.293069e-07;1.2927061e-06;2.3936611e-06;1.3395522e-06;4.1110397e-07;1.0827451e-06;0.00068219576;6.4093438e-06;4.7130607e-07;3.836122e-06;1.260528e-06;4.3290106e-06;5.249764e-07;1.1157056e-06;1.4030694e-06;1.7901212e-06;3.6930421e-06;1.3605422e-05;1.0760461e-06;1.1770703e-05;1.3006241e-06;1.6177443e-06;4.3981328e-07
austin;0.00016060562;2.0779687e-05;3.5049964e-06;3.98363e-05;3.4363184e-06;3.099529e-05;7.917908e-05;4.0430905e-06;1.7547974e-05;3.291444e-05;0.00062515173;3.3978934e-06;0.0015983429;3.801127e-05;0.00011702647;0.00023007451;7.417929e-05;7.708178e-06;3.1900363e-05;4.4266194e-06;1.3063681e-05;6.0769922e-05;2.9542184e-06;3.638535e-05
mane;1.5709822e-06;1.3853739e-06;5.5805293e-07;8.974502e-06;1.0561702e-06;1.4812593e-07;1.4946971e-06;1.2906506e-06;1.2802785e-06;1.8900856e-07;8.0342784e-07;1.3307166e-06;1.8710264e-06;1.087948e-07;1.3033251e-06;1.1669397e-06;1.0811307e-07;8.7315817e-07;6.983119e-07;9.379598e-07;0.00042435192;8.2359736e-07;1.6890277e-06;1.7413119e-07
majorityof;4.6662026e-06;2.355232e-06;3.201175e-06;4.496521e-06;1.5638805e-06;8.9210647e-07;1.3393395e-06;2.1067092e-06;1.3940872e-06;1.0504798e-06;1.0107619e-06;1.5925832e-05;5.5376017e-06;6.654721e-07;1.0896613e-05;1.5942252e-06;6.0881996e-07;9.979885e-07;1.3047379e-06;2.725921e-06;4.4638986e-05;1.155973e-06;2.2697443e-06;9.589133e-07
wrapper;1.2208365e-06;2.8801123e-06;9.347107e-07;1.7430971e-06;9.483216e-07;7.1674424e-07;8.836043e-05;1.5434064e-06;2.044044e-06;7.5196436e-07;1.6045672e-06;1.096766e-06;1.7283153e-06;7.7505945e-07;3.253663e-06;1.787072e-05;9.887252e-07;7.2714836e-05;1.9035637e-06;9.583658e-07;1.6379988e-06;8.901293e-06;1.8904202e-06;7.294388e-07
mist;1.6950752e-06;9.88778e-07;1.0651658e-05;1.5173999e-06;1.5151289e-06;5.9690024e-07;7.7932856e-07;1.5210917e-06;1.1349803e-06;6.9151423e-07;8.908831e-07;1.8721906e-06;1.3955885e-06;4.6918365e-07;1.4806968e-06;9.790688e-07;6.951828e-07;7.6035633e-07;1.2012898e-06;2.6236848e-05;1.0870999e-06;8.301725e-07;3.47278e-05;5.713862e-07
swinge;2.2202435e-06;5.379565e-07;9.92694e-07;1.4293382e-06;1.0393392e-05;4.6357408e-07;9.077458e-07;2.5921345e-06;1.0260931e-06;5.0421704e-07;1.0372686e-06;2.2380289e-05;1.7292583e-06;3.8286421e-07;1.0941844e-06;0.0001279764;7.781477e-07;8.1051127e-07;1.0808583e-06;2.290922e-06;1.4109986e-06;8.589504e-07;1.1935211e-06;4.8829037e-07
greatly;0.000115040035;9.227211e-06;1.8015182e-05;4.8034594e-06;4.8000504e-05;2.4460423e-06;2.195965e-06;1.0624296e-05;8.747397e-06;2.3354194e-06;0.00023503385;5.019563e-06;6.8041536e-06;5.413969e-06;2.8072975e-06;2.0037755e-06;2.4840234e-05;0.00030323447;0.0037925816;4.4668e-06;5.4419365e-06;6.3647985e-06;0.00018169916;2.2895479e-06
adjustment;3.7226808e-05;2.2988343e-05;1.0795022e-06;0.00011459116;1.4675026e-06;4.1221324e-06;1.9724528e-06;2.259109e-06;2.8646798e-06;4.660127e-06;3.1332078e-05;6.4274977e-06;2.5086622e-06;3.609385e-06;1.8159966e-06;7.511705e-05;1.9903393e-06;2.7038952e-06;2.4329286e-06;3.0579304e-06;2.4969699e-05;0.00019279627;3.8081962e-05;4.5768625e-06
opponent;1.09793e-06;3.3650704e-06;4.0679868e-05;2.3049173e-05;8.264107e-06;2.891249e-06;0.00023176766;3.098476e-06;2.4661263e-06;3.1127774e-06;9.922817e-07;0.00010440503;0.000126503;2.1784726e-06;3.837831e-05;0.00016856739;2.562844e-06;1.18955e-06;1.2843334e-06;3.2381176e-06;4.4012606e-05;1.6394708e-06;1.5880618e-06;3.3584374e-06
withhis;1.7451571e-06;6.133142e-07;3.5041194e-05;1.4859506e-06;8.6260325e-06;8.766681e-07;8.762428e-07;1.767871e-06;1.1531549e-06;1.0096558e-06;9.08527e-07;1.4176121e-06;2.00719e-06;6.082119e-07;1.7924533e-06;2.3724567e-06;9.695016e-07;6.9937977e-07;1.3710044e-06;3.642193e-05;1.0057004e-06;7.61512e-07;1.2584402e-06;8.406926e-07
renounce;1.2273412e-06;1.1411761e-06;1.9776318e-05;1.2555322e-06;9.614484e-07;6.990947e-07;1.3221864e-06;1.7589176e-06;1.2666958e-06;7.653927e-07;5.90088e-07;2.4463967e-05;3.908657e-06;4.7804065e-07;0.00010584945;1.3521526e-06;5.379785e-07;7.909517e-07;1.3214315e-06;1.3866908e-06;1.8116716e-06;9.033094e-07;1.2455856e-06;6.9329536e-07
standardized;1.4898975e-06;1.5304653e-06;8.783759e-07;1.3903425e-06;1.1379914e-06;3.237528e-07;1.483276e-06;2.3491418e-06;1.1570077e-05;3.6465931e-07;3.1842867e-06;1.0808739e-06;1.7333134e-06;3.2020057e-07;1.0833536e-06;1.1882591e-06;5.100429e-07;4.9153878e-06;2.0643254e-06;1.0344386e-06;1.8546413e-06;6.210771e-05;6.0023544e-06;3.3153418e-07
