;0;1
youneed;1.5223716e-06;1.2779019e-05
tellme;3.5733813e-06;2.2890128e-05
radical;8.204993e-05;3.8692606e-06
considerably;1.4762165e-05;6.492489e-05
hasa;1.2331339e-05;1.8275578e-05
single;0.00038111577;0.00060059107
undergrad;1.2399318e-05;1.8305807e-05
austin;5.3820513e-05;0.00019632172
mane;7.4177275e-05;1.5819671e-06
majorityof;1.1156167e-05;1.5771798e-06
wrapper;2.789361e-06;1.38422565e-05
mist;8.435685e-06;1.7639436e-06
swinge;4.586593e-06;1.03999955e-05
greatly;4.639581e-05;0.0002992131
adjustment;1.2424779e-05;4.8689464e-05
opponent;6.310735e-05;1.0088037e-05
withhis;5.4109696e-06;1.921665e-06
renounce;1.8022534e-05;1.3984157e-06
standardized;1.7180297e-06;8.882248e-06
brush;1.3740181e-05;2.1847214e-05
gregory;1.2923133e-05;0.00013291082
steam;3.511728e-05;2.0305026e-05
badly;6.276691e-05;1.9560432e-05
david;0.001395719;0.001269728
lourde;1.6787782e-05;2.1268781e-06
connecticut;1.4376115e-05;5.0183585e-06
energia;1.2573618e-05;2.1485225e-06
middle;0.00030811818;8.3081744e-05
asic;4.527454e-06;1.117071e-05
tokyo;6.7565493e-06;4.5929268e-05
testimony;8.6383065e-05;3.831445e-06
matter;0.00072419463;0.00020628414
telecommunication;4.6950092e-05;1.03774755e-05
idle;8.276718e-06;0.00018535621
diving;8.784688e-06;4.6469427e-06
timmon;2.858206e-05;6.28847e-06
province;7.191823e-05;3.404289e-06
oscar;2.1701326e-06;2.6479502e-05
lehigh;1.1652869e-05;0.0001468609
impress;6.354244e-06;3.1604468e-05
champ;2.2283518e-06;3.978979e-05
theserial;4.6876116e-06;7.913985e-06
sheffield;1.3272448e-06;5.448322e-05
sarto;1.1676475e-05;3.5757455e-06
treasury;3.1472035e-05;3.0127785e-06
crony;1.6109925e-05;3.037649e-06
velocity;2.8249486e-05;6.889804e-05
easily;0.00014893137;0.00026254513
honesty;1.7173106e-05;2.5055467e-06
nurse;3.3111122e-05;1.6988969e-06
alarm;1.3910336e-05;0.000116062605
brunel;8.101166e-06;4.7557038e-05
bark;2.0327345e-05;2.4382907e-06
gaia;1.8309412e-06;2.1975979e-05
mcdowell;1.6524857e-05;8.866516e-06
kilroy;1.765008e-05;5.8592686e-06
conductor;1.20714785e-05;6.789534e-05
cheese;2.374533e-05;3.7617863e-06
necessaryto;5.779323e-06;2.9047214e-06
theyhave;2.5619498e-05;7.5851262e-06
intrinsic;4.142762e-06;0.00011000551
coordination;5.4681154e-06;1.4438413e-05
documentary;4.5950776e-05;2.3096313e-06
exploration;7.0565926e-05;3.5125537e-05
thatmatter;1.8903266e-06;7.2573e-06
yesterday;0.00022842403;7.683025e-05
democratic;0.00010315284;1.9742517e-06
kingdom;0.00014276544;2.0173053e-05
monosodium;7.652673e-06;1.6091982e-06
highway;3.8888546e-05;0.00013524709
accomplishment;1.2722342e-05;4.652725e-06
tendency;3.2664004e-05;5.78377e-06
suspicious;1.8782535e-05;1.3387266e-05
affiliate;1.9096557e-05;1.9791023e-05
philly;1.9624406e-06;6.978758e-05
belly;1.2495316e-05;1.8557454e-06
conditt;1.28231395e-05;2.2180986e-06
anti;0.00050898374;2.2135711e-05
socialist;0.000104898136;2.0775635e-06
catholic;0.0003365508;2.2703582e-05
thefederal;2.6976577e-05;1.9716122e-06
make;0.0045182398;0.002731763
problem;0.0011239732;0.0032831088
zariski;5.5347987e-06;1.0702804e-05
proverbial;1.3078622e-05;1.9957738e-06
levy;3.3388467e-05;5.4073794e-06
resolution;5.683159e-05;0.000344347
kaan;1.7990043e-05;3.8547587e-06
ofmy;6.3641833e-06;8.490645e-06
gradually;2.1261249e-05;1.0913461e-05
adresse;7.1902623e-06;1.381976e-05
poke;3.5027588e-06;1.9024292e-05
elephant;1.14188e-05;4.3838804e-06
refuse;0.00023711026;4.517192e-05
sunnyvale;8.585566e-06;4.558958e-05
generally;0.00019083805;0.0001756621
lemur;5.719218e-06;3.2425005e-06
burner;4.871322e-06;4.1323196e-06
naive;4.9370163e-05;3.9963334e-06
ilstu;1.2539393e-06;2.746488e-05
hostage;8.116822e-05;1.9589645e-06
magazine;0.0001499034;0.00029691038
estate;2.1029686e-05;1.9150852e-05
humour;5.5403198e-06;1.1922095e-05
appearance;3.2864526e-05;6.263312e-05
team;6.5931235e-05;0.0013251859
thereby;3.92224e-05;1.5675747e-05
formal;4.888516e-05;5.189057e-06
dominant;1.715942e-05;1.0324215e-05
qualifie;1.1177967e-05;4.770323e-06
bowman;1.5642047e-06;1.9050636e-05
ucar;3.2143412e-06;7.28311e-05
serbia;6.6429624e-05;1.8327562e-06
start;0.0014605399;0.0015845926
intensity;7.780268e-06;5.687527e-05
writer;0.00010755012;7.5440345e-05
wallet;2.2779968e-05;1.0208664e-05
pedal;2.0330515e-06;8.32271e-05
afew;1.7283319e-05;1.2037973e-05
sighted;9.2310265e-06;7.430791e-06
crawford;2.542449e-06;1.6221706e-05
museum;6.4543856e-05;3.068334e-05
understand;0.0011209914;0.0002922748
virginity;9.095929e-06;2.3701689e-06
mitigate;1.0727083e-05;3.1444376e-06
craig;2.9435827e-05;0.000321012
deport;1.191935e-05;1.5894467e-06
indication;8.140389e-05;3.7479796e-05
wittgenstein;7.4046734e-06;2.105225e-06
incidentally;2.378379e-05;2.1468482e-05
squad;3.8500744e-05;2.6702864e-06
ordinary;8.184467e-05;2.0192889e-05
afterthe;1.3763775e-05;3.0468855e-06
revisionism;2.526459e-05;1.6634192e-06
netter;2.4710602e-05;9.686201e-05
territory;0.0002899569;3.1714594e-06
outward;2.5767584e-05;3.5913122e-06
fist;1.9259158e-05;9.174004e-06
investigate;9.517451e-05;1.9328361e-05
variety;6.0242353e-05;0.00014500336
month;0.00056352606;0.0006441548
formulate;2.0959e-05;2.5692434e-06
nagle;2.3761153e-05;1.65065e-05
update;4.0957086e-05;0.0005126256
louis;3.1770596e-05;0.00016317784
administer;3.0530504e-05;3.0827114e-06
rational;0.000102450635;1.6802263e-05
krehbiel;1.0627126e-06;3.583696e-05
creature;6.0094484e-05;4.79035e-06
aardvark;1.4734519e-06;4.381991e-05
preach;8.061529e-05;8.775516e-06
veal;0.00014917251;1.9088664e-06
diego;9.4870065e-06;0.00022211268
vilayet;1.5113854e-05;1.5244127e-06
thefollowing;3.4750876e-06;1.5274216e-05
veil;2.4957466e-05;1.982926e-06
reliable;7.639628e-05;0.00011063366
marlin;2.8032975e-06;8.0278536e-05
corp;6.65165e-05;0.000226457
oven;2.0842523e-05;7.189265e-06
scripture;0.00044734345;4.2543466e-05
distinction;8.833991e-05;6.4934734e-06
concussion;1.3293313e-05;1.846789e-06
greig;2.8963179e-05;1.6038358e-06
oppression;2.2459642e-05;1.926353e-06
brook;5.140889e-06;7.8568e-05
uiuc;0.00030198414;0.00074037665
embed;7.088242e-06;5.1704097e-05
attention;0.00015010108;7.7624296e-05
mourn;1.2939344e-05;2.9054597e-06
utkvx;2.172688e-06;4.9196566e-05
quote;0.0007737057;0.00015372426
documentation;1.1266905e-05;0.00023605808
worldwar;1.2550515e-05;1.5470122e-06
definite;2.8240693e-05;2.2771073e-05
successor;1.4785765e-05;1.2762407e-05
alas;8.412395e-06;7.767683e-06
oscs;3.3287076e-06;1.2484678e-05
occasional;1.679776e-05;1.813365e-05
mediot;1.4660121e-06;2.723092e-05
constraint;1.2945676e-05;4.6951103e-05
wesleyan;2.1382439e-05;1.3768921e-05
england;9.6267286e-05;7.069724e-05
disconnect;2.0417094e-06;4.6033787e-05
enhanced;2.2535098e-06;2.2262873e-05
asleep;1.3712429e-05;1.337904e-05
presumption;1.2889753e-05;4.0362675e-06
cleveland;0.00015019574;0.00026981762
heck;5.1853494e-05;6.508797e-05
frozen;1.7701426e-05;5.9775566e-06
stuart;9.636355e-06;3.9295166e-05
fuse;7.5304342e-06;6.445691e-05
dense;2.6096572e-05;2.616569e-06
robinson;1.0788362e-05;6.211294e-05
default;7.630905e-06;0.00051888986
pertinent;1.4383234e-05;1.1825854e-05
prabhakar;2.3829676e-05;1.5415881e-06
pose;7.160485e-05;2.569975e-05
mightbe;1.1057489e-05;2.084819e-05
reasoning;0.00010429415;2.2864646e-05
outlaw;9.0741305e-05;3.269651e-06
looking;1.4956396e-06;1.265094e-05
disappointing;2.4493434e-06;1.05209165e-05
gandler;1.2736824e-06;1.8189327e-05
theway;9.626783e-06;1.2927811e-05
agony;6.6312837e-06;1.4491605e-06
aprogram;1.1806978e-06;1.4180574e-05
billy;2.515147e-06;6.2759165e-05
anatomy;2.742575e-06;1.4429494e-05
milwaukee;7.5879293e-06;7.8240715e-05
newsweek;1.6414486e-05;2.1883652e-06
equipment;9.2417205e-05;0.00031677898
liable;1.9185265e-05;8.663593e-06
vera;4.396747e-05;4.7599665e-06
notoriously;5.7160796e-06;4.7225076e-06
bream;1.583777e-06;2.4757732e-05
founder;3.9483268e-05;2.474378e-06
absent;1.544345e-05;7.9341135e-06
partially;3.893725e-05;1.4044682e-05
specialist;4.6173427e-05;1.6231601e-05
funny;0.0001500339;7.455735e-05
hollow;1.7686525e-05;1.5246753e-05
partof;1.9267121e-05;1.038978e-05
prominent;2.690945e-05;2.2709462e-06
athiest;2.1286303e-05;2.3852092e-06
preprocessor;1.2350971e-06;2.9255541e-05
gary;0.00014066738;0.00022638941
spook;4.2771037e-05;2.3860375e-06
bunk;8.147592e-06;4.6582036e-06
simply;0.00054885563;0.0002790142
colored;3.7281943e-06;1.8388228e-05
odometer;2.3174043e-06;0.000107741165
comparable;5.008072e-05;8.669085e-05
small;0.00047490446;0.0007168485
barry;4.042874e-06;0.00017639596
imprisonment;2.1214542e-05;1.9177469e-06
option;0.00021939365;0.0005216896
genesis;7.507033e-05;2.0480622e-05
negotiable;4.6134755e-06;1.75915e-05
uiowa;1.6075493e-05;2.5025176e-05
telex;1.5389468e-06;1.2222403e-05
descent;2.0795587e-05;5.2631303e-06
thenumber;1.5943959e-05;1.1767848e-05
headline;1.9229978e-05;8.503279e-06
safety;0.00036674028;3.8758182e-05
parkway;2.2502284e-06;1.6593014e-05
afflict;8.449889e-06;1.7643912e-06
atla;1.1810616e-05;3.1328104e-06
limbaugh;7.662237e-05;3.9872293e-06
battery;1.2713906e-05;0.00035830113
kelso;4.897176e-06;1.884467e-05
hilbert;5.4491093e-06;3.6350648e-06
tackle;6.6834655e-06;3.5035575e-06
efficacy;8.8458655e-06;1.6450341e-06
benjamin;2.0535463e-05;2.1970562e-05
politically;5.3908665e-05;4.7356634e-06
overturn;2.3248465e-05;1.8188337e-06
hayes;1.6251683e-05;5.4571075e-05
vulnerable;3.1821284e-05;1.0223498e-05
tantrum;1.3758132e-05;1.6975753e-06
ballistic;1.807817e-05;2.4395674e-06
singing;5.5614923e-06;2.2589018e-06
fedex;1.0221499e-05;1.5335285e-05
affirmation;1.1598333e-05;1.658629e-06
celestial;9.984609e-06;2.8120641e-05
menu;3.2293956e-06;0.00036714235
becausethe;1.03404045e-05;5.7563366e-06
dismiss;7.931103e-05;9.361237e-06
acceptable;0.00013226323;4.9681632e-05
hplsla;1.4308629e-06;1.3270677e-05
vmcms;1.2440886e-05;1.6463053e-06
woody;9.264641e-06;1.8253832e-05
thefirst;5.9164275e-05;3.9185983e-05
sauce;1.4435432e-05;4.9736454e-06
bacterial;1.91952e-05;1.6813731e-06
libertarian;0.00020938208;3.2147798e-06
thanwhat;3.331771e-06;5.4581847e-06
nominate;1.1155166e-05;5.67589e-06
daulton;1.5793969e-06;2.2266855e-05
infectious;4.5621044e-05;2.32734e-06
illness;0.00010506974;2.9035623e-06
caltech;0.00020756628;0.00014423467
dichotomy;1.3003472e-05;1.5603936e-06
tragic;5.117639e-05;3.105386e-06
publicize;1.0126217e-05;4.8191237e-06
audience;7.51314e-05;1.00614225e-05
iunderstand;8.167017e-06;4.788827e-06
outside;0.00037651995;0.00014063029
powerbook;1.9414301e-06;0.00019150467
resurrection;0.00013099094;1.171499e-05
total;0.00024704935;0.00028714357
patterson;7.908516e-06;1.2521266e-05
uphold;3.09734e-05;1.9879285e-06
commentator;1.4414116e-05;2.0316386e-06
plus;6.583667e-05;0.0005999571
validate;2.112847e-05;9.215454e-06
asingle;6.8393238e-06;4.2428173e-06
makethe;7.937894e-06;2.6666357e-06
