;0;1;2;3;4;5
youneed;2.007221e-06;1.2962817e-06;1.5178238e-06;2.4649049e-05;1.0497092e-06;2.5370994e-06
tellme;3.86212e-06;2.9987327e-06;2.6497992e-05;1.8020339e-05;1.7674485e-06;5.5649616e-06
radical;4.932163e-05;5.896223e-05;3.2918272e-06;1.6252321e-06;0.00010512331;6.949797e-05
considerably;6.6201765e-06;5.2157746e-05;3.3527005e-05;8.298365e-05;4.777211e-06;3.5928893e-05
hasa;1.6825587e-06;3.560596e-05;6.918867e-06;1.5281927e-05;1.0924091e-05;5.393066e-06
single;0.00030180864;0.0010701269;0.00043028063;0.000524771;0.00018613871;0.0003971777
undergrad;3.4427812e-05;2.6480309e-06;3.2353385e-06;3.32454e-05;3.7157602e-06;1.2948162e-05
austin;6.0070288e-05;4.3112536e-06;0.00029967498;0.00015702345;0.000102035636;3.577616e-05
mane;0.00019501502;1.4266458e-06;1.3844228e-06;6.919526e-07;9.775077e-07;2.5967238e-06
majorityof;1.4402816e-05;6.5250833e-06;2.113398e-06;1.0998591e-06;8.739447e-06;4.2642855e-06
wrapper;1.0702585e-06;1.3135823e-06;6.581172e-06;1.5627418e-05;1.1543708e-06;2.2811739e-05
mist;1.3851324e-06;1.2346514e-05;2.2251526e-05;1.031383e-06;4.541032e-06;1.1393257e-06
swinge;1.6307204e-06;1.0823637e-05;3.1107793e-05;9.808871e-07;1.0854388e-06;1.2092385e-06
greatly;5.083987e-05;2.6932108e-05;0.0001558973;0.0004905252;2.5646363e-05;0.00017620977
adjustment;3.0156536e-05;9.726226e-06;8.023e-05;3.3171244e-05;1.5213881e-06;2.2591334e-05
opponent;2.8905593e-05;8.28556e-05;4.1990712e-05;1.8759508e-06;3.6332276e-05;9.4376264e-05
withhis;5.013539e-06;1.6114573e-06;2.2932777e-06;8.8039417e-07;2.2077069e-05;1.1678434e-06
renounce;1.4065305e-06;4.579923e-06;1.5817603e-06;1.022666e-06;8.375156e-05;1.7642454e-06
standardized;9.2638703e-07;1.3738078e-06;2.262021e-06;2.0586507e-05;9.794421e-07;3.54336e-06
brush;8.592215e-06;1.1544684e-05;2.8257284e-06;2.5852287e-05;2.2844166e-05;5.0819767e-06
gregory;4.1741782e-06;1.2917139e-05;0.00015122947;0.00013810139;3.895662e-05;5.0046597e-06
steam;1.1987481e-06;2.2477318e-06;0.00017059459;1.1439473e-06;1.5589766e-06;3.2169905e-06
badly;0.00014116876;4.8308993e-05;3.9664403e-05;1.6155707e-05;1.6095066e-05;2.5072091e-05
david;0.0018597145;0.00059802615;0.0016158207;0.0010680115;0.00083092874;0.0023384418
lourde;1.1243876e-06;1.2787712e-06;1.251877e-06;9.302639e-07;6.087434e-05;4.3919604e-06
connecticut;8.320664e-06;3.6629797e-05;1.5143517e-05;1.4837177e-06;1.3500596e-06;1.5291733e-05
energia;1.1474962e-06;8.2595536e-05;1.2767288e-06;9.447306e-07;1.101956e-06;1.1715748e-06
middle;0.0001917917;0.0004890183;0.00023625235;3.201939e-05;0.0001624687;3.398521e-05
asic;1.6824769e-06;1.5565471e-06;2.5349048e-06;7.788603e-06;1.2505161e-06;3.5658948e-05
tokyo;1.7379809e-05;1.9083276e-05;5.5022083e-06;6.233869e-05;1.328233e-06;3.842096e-06
testimony;9.937413e-05;1.7236885e-05;2.2614192e-06;1.1544806e-06;0.00017063132;2.3359662e-06
matter;0.0008093145;0.000507174;0.00036816666;0.00010845188;0.001318064;0.0004235041
telecommunication;1.5088228e-06;1.8170602e-05;1.6878845e-06;5.1339107e-06;1.0967484e-06;0.00014783691
idle;2.758082e-06;2.5216955e-06;0.00027570713;8.181359e-05;4.6705474e-05;1.505429e-05
diving;2.9019766e-06;3.072684e-05;6.455068e-06;2.313706e-06;1.4354339e-06;1.6103025e-06
timmon;1.1382634e-06;1.3746505e-06;1.2993906e-06;8.496086e-07;0.00013280913;1.1385698e-06
province;2.7774906e-06;0.00019496544;8.159563e-06;1.5035371e-06;1.6816191e-06;9.196524e-05
oscar;2.6221373e-06;2.021226e-06;5.745792e-05;2.8993181e-06;2.0071066e-06;1.4897381e-06
lehigh;3.7029922e-06;4.9564196e-06;0.0002787941;4.3065825e-06;1.5462797e-06;7.407501e-05
impress;5.582866e-06;4.2182655e-06;3.1172338e-05;2.5265454e-05;1.5135756e-05;1.28137e-05
champ;8.565604e-07;1.1539631e-06;9.5553194e-05;1.3077752e-06;9.530224e-07;9.817978e-07
theserial;1.2411073e-06;1.3691633e-06;1.9836805e-06;1.8401739e-06;1.0012233e-06;3.3376415e-05
sheffield;9.216268e-07;1.2445716e-06;7.858605e-05;1.538835e-05;9.4097663e-07;1.1405042e-06
sarto;9.657718e-07;1.1974603e-06;1.2165796e-06;8.572583e-07;5.479542e-05;9.763523e-07
treasury;8.188938e-05;2.1565695e-06;3.6981405e-06;1.1439485e-06;1.5688523e-05;7.55341e-06
crony;1.0881536e-05;2.2526548e-05;3.884573e-06;1.6996703e-06;1.2741859e-06;2.1245182e-06
velocity;7.1873606e-06;0.000198726;1.3292696e-05;1.04431565e-05;1.5944498e-06;3.0677656e-06
easily;0.00013462974;0.0001221932;0.00027696474;0.00029930778;0.00021792091;0.00041804076
honesty;9.102587e-06;3.8764024e-06;2.044365e-06;1.1003459e-06;5.780142e-05;2.7425326e-06
nurse;4.294719e-05;9.933478e-06;2.9214498e-06;1.3585735e-06;1.7739904e-06;9.126549e-05
alarm;1.2380202e-05;3.1034692e-06;0.0002607483;1.1374031e-05;4.5461798e-06;2.7548176e-06
brunel;1.4388257e-06;6.2797326e-06;2.4033136e-06;5.2539766e-05;5.1968444e-05;2.6122077e-06
bark;5.2851287e-06;4.4544267e-05;4.9997916e-06;1.2976265e-06;1.4495274e-06;4.0541865e-05
gaia;9.860182e-07;1.1343815e-06;6.938734e-05;9.702538e-07;1.0457804e-06;1.1510234e-06
mcdowell;1.1733503e-06;7.0155766e-06;1.7626201e-06;1.8341187e-06;3.5689874e-05;1.2209748e-06
kilroy;1.1904147e-06;7.3896017e-06;1.4135873e-06;3.0243716e-06;6.695854e-05;1.2442089e-06
conductor;1.0683164e-05;3.2337596e-06;0.00021595557;1.5067739e-06;1.3374103e-06;2.6605744e-06
cheese;2.878339e-05;4.8739084e-06;9.3487815e-06;1.7799894e-06;4.0746154e-06;4.8071845e-05
necessaryto;1.0386373e-05;1.6290601e-06;2.3849702e-06;1.8064964e-06;1.0949822e-05;2.5882694e-06
theyhave;2.6833151e-05;1.5857131e-05;2.29753e-05;2.7578612e-06;3.041819e-05;2.0085914e-05
intrinsic;1.3025412e-06;2.2755553e-06;1.8480292e-06;0.00018746268;5.7750144e-06;1.9310357e-06
coordination;1.4112169e-06;3.8744303e-05;7.758736e-06;1.4252896e-05;1.220181e-06;2.5206828e-06
documentary;7.6684846e-05;4.7989997e-05;1.4758918e-06;9.604199e-07;3.2633097e-06;1.5186686e-06
exploration;1.6556929e-06;0.0004607302;1.8920398e-06;3.2439533e-05;2.3824414e-06;1.6012391e-05
thatmatter;1.003122e-06;2.1116111e-06;1.5211786e-05;1.8667332e-06;1.0891209e-06;2.8262903e-06
yesterday;0.0006217897;0.0001582283;0.0002399415;4.045953e-06;3.0465205e-06;4.686366e-06
democratic;0.00024422415;9.990229e-05;1.6650077e-06;1.067259e-06;2.048656e-06;2.8754189e-06
kingdom;3.162636e-06;5.1914234e-05;2.661266e-06;2.464491e-05;0.00042908327;1.3313547e-05
monosodium;1.0609124e-06;1.2299605e-06;1.4558718e-06;1.0058858e-06;1.0137501e-06;3.415094e-05
highway;2.3971947e-05;2.4005882e-05;0.00030222835;1.5325171e-05;3.2998344e-06;4.2792002e-05
accomplishment;7.1259788e-06;3.119197e-06;1.5779538e-05;1.0498442e-06;2.3706557e-06;9.408214e-06
tendency;6.4821174e-06;2.9641046e-06;8.759996e-06;2.7148249e-06;0.000107814594;1.654313e-05
suspicious;3.262259e-05;2.054278e-06;1.2697819e-05;9.451504e-06;2.0125242e-05;3.2694323e-05
affiliate;1.7657709e-05;2.8475995e-05;2.1952936e-05;2.0278287e-05;7.2602625e-06;7.9698275e-06
philly;8.1156935e-07;1.1506203e-06;0.00012689401;1.4524372e-06;8.8936906e-07;2.2755537e-06
