;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
корпорация;8.902018e-06;1.6549741e-06;0.0014587634;0.0004119167;3.7461964e-06;2.2060447e-06;1.9072927e-06;9.2809296e-07;1.4194286e-06;0.0016179236;4.1806903e-05;4.4921285e-06;5.368213e-06;2.6754255e-06;6.017845e-06;0.00013316005;6.2380464e-06;4.505778e-07;2.2503805e-06
универмаг;8.2026673e-07;9.632521e-07;2.8277798e-06;7.055913e-07;3.106353e-07;1.4759765e-06;4.086891e-07;1.044617e-06;3.7786183e-06;9.965071e-07;1.4482185e-06;3.1877343e-07;2.0627742e-06;8.0506845e-07;3.2823993e-07;0.00031244752;9.061883e-05;1.6785792e-06;6.879072e-07
louis;9.1434265e-07;5.8434165e-07;2.653134e-06;1.6379836e-06;2.1265444e-07;1.4193909e-06;7.4563764e-07;1.0257173e-06;2.301101e-06;1.3372039e-06;6.3346897e-07;2.2505282e-07;1.7499542e-06;1.5564538e-06;2.2418928e-07;0.00020809403;3.1516222e-06;1.1385696e-06;1.0962166e-06
фетис;4.352915e-07;9.881717e-07;2.1969154e-05;1.982393e-06;7.669111e-07;1.16432e-05;1.8361559e-06;0.00016864626;3.5448863e-06;1.4781776e-06;2.361681e-06;8.145795e-07;4.3862847e-06;3.620375e-06;7.432017e-07;3.7922841e-06;1.7465169e-06;2.6061098e-06;1.5367248e-06
возбуждение;1.7303599e-06;0.00057297753;4.982857e-07;7.165572e-07;1.2125927e-06;5.2250346e-07;2.1931314e-06;1.0952044e-06;3.009605e-06;1.208826e-06;8.873915e-06;1.7768347e-06;7.891902e-05;2.358903e-06;9.682977e-07;1.2898856e-06;7.633748e-06;9.839202e-06;0.0012819972
джонатан;1.3482717e-06;1.8220608e-06;1.5034791e-06;7.6441626e-07;1.0288423e-06;1.8487276e-06;8.165979e-07;3.445128e-06;3.0394951e-05;1.9157924e-06;7.057784e-07;1.0111179e-06;6.0319817e-05;2.606348e-06;1.0606341e-06;0.00029646727;7.2525377e-06;2.1305327e-06;8.7202767e-07
моника;1.8007729e-06;2.9010003e-05;7.516395e-07;5.5166475e-07;1.3117519e-06;0.00016437673;2.3184814e-06;2.2355578e-06;3.8189217e-05;2.6761466e-06;7.383351e-07;1.1724229e-06;9.042326e-07;3.5923279e-06;9.039379e-07;0.00015718018;5.328265e-06;2.1441814e-05;4.2240695e-06
кристофер;2.0931068e-06;1.7639577e-05;2.7130664e-06;1.6983035e-05;4.332009e-06;1.939515e-06;1.0490766e-06;1.4513649e-05;3.7585225e-05;1.7362147e-06;1.909535e-06;4.3501514e-06;2.575525e-05;3.2845462e-06;4.116194e-06;0.00015359448;7.40274e-05;1.5920237e-05;1.8133171e-06
занятость;2.5923118e-06;2.468589e-06;2.2856902e-06;0.0001580755;5.496201e-06;4.589315e-06;3.3339268e-06;1.4391937e-06;1.0844001e-05;8.2244577e-07;6.9277694e-06;6.3523216e-06;1.7859961e-06;3.6317247e-06;4.6006553e-06;2.0662462e-06;5.4101965e-06;6.866523e-05;0.00033316913
осматривать;7.817801e-06;0.00015890767;3.8614285e-06;3.3763587e-07;3.2017897e-06;2.2769968e-06;8.9614684e-07;1.28373e-06;0.00020329295;6.68477e-05;1.7697893e-06;3.4406362e-06;3.579619e-06;1.4285765e-06;3.2255484e-06;5.2005403e-06;3.5131839e-06;3.2120481e-06;2.1986614e-06
полуфинал;8.2774386e-07;5.202995e-07;9.722858e-07;1.0356655e-06;5.245494e-07;0.001180425;8.399471e-06;0.0005365244;2.2116371e-06;2.705387e-06;8.206795e-07;4.3562355e-07;4.7939784e-07;4.8427546e-06;4.0105232e-07;7.351657e-06;2.0502696e-06;2.3882814e-05;3.7259442e-06
дефицит;3.102505e-06;1.2652006e-06;6.102479e-06;0.0025405057;1.8268581e-06;8.5931894e-08;5.0847993e-06;1.3612763e-06;8.644482e-07;5.966082e-07;7.14286e-05;2.4223302e-06;0.00022006367;2.150347e-06;2.1229023e-06;1.1329138e-06;1.3888982e-06;8.752649e-07;1.4984133e-06
подразумевать;0.0017396219;2.7495196e-06;0.0002878791;1.0497966e-05;6.510572e-06;1.5301706e-06;8.966252e-06;2.971675e-07;1.0521813e-06;7.8709265e-05;0.00068553834;8.459808e-06;2.5943252e-06;4.5340744e-06;7.5874054e-06;1.5796792e-06;2.6272162e-06;4.337055e-07;1.4211406e-05
номер;9.912458e-06;0.0007978775;0.00040082436;3.1284085e-06;0.00041036954;0.0002679749;6.4280925e-06;7.2139774e-05;0.00036801206;0.00017248768;1.8879913e-05;0.00035338904;1.7719227e-05;0.0001397532;0.00035643647;6.894513e-05;0.0019631367;0.0006124753;2.187832e-05
обрушение;2.3283897e-06;0.00026195974;5.8499436e-06;1.9633893e-05;1.227667e-06;8.145895e-07;1.325727e-06;2.934071e-06;3.6070305e-06;3.0931928e-06;2.317111e-06;1.4229868e-06;3.7829013e-06;4.4630224e-06;1.2329507e-06;2.2706697e-06;1.7559245e-06;2.9507416e-06;4.081668e-06
возмещение;1.7026107e-06;7.2529883e-06;1.6034333e-05;5.994373e-05;1.8891911e-06;7.511546e-07;2.1435233e-06;1.2512651e-06;1.2066184e-06;1.7969385e-06;0.00020427881;2.346818e-06;1.8541602e-06;1.6882486e-06;1.942621e-06;1.2708038e-06;1.3464861e-06;1.934459e-06;0.00054973457
экипировка;1.8449332e-06;1.8320587e-06;2.1723915e-06;7.222048e-07;7.785671e-07;5.6764674e-07;8.326355e-07;1.4276887e-06;2.6841194e-06;2.9606215e-05;1.9341087e-06;9.270296e-07;5.5946974e-05;1.288748e-06;9.69449e-07;0.00015797185;3.346879e-06;7.562667e-07;2.0788375e-06
транснефть;7.8707086e-07;7.2680484e-07;0.00013697744;7.047477e-05;7.480505e-07;2.1880148e-06;1.3895317e-06;9.1862063e-07;5.754124e-07;2.1650424e-06;0.000104083716;8.48925e-07;2.120642e-06;1.6418167e-06;1.0617402e-06;1.4666643e-06;1.230782e-06;3.9379822e-07;2.1741862e-06
